product_name,unit_count,jev_label,core_probability,confidence,model
"3-Stjernet, Oksekebab 200g, Oksekebab",1,prepared_beef,0.02,0.74,jev-1.13.0
"3-Stjernet, Roastbeef, Roastbeef i skiver m. knust peber",2,prepared_beef,0.14,0.82,jev-1.13.0
"8in1 Delights, Beef Twisted Sticks 10 stk, Tyggepinde m. okse",1,animal_feed,0.01,0.84,jev-1.13.0
"8in1 Delights, Beef Twisted Sticks 35 stk, Tyggepinde m. okse",1,animal_feed,0.0,0.93,jev-1.13.0
"Angus entrecote, 360 g / frost",1,core_beef,1.0,1.0,jev-1.13.0
"Asian Kitchen, Instant kopnudler m. oksekødssmag, Instant kopnudler m. oksekødssmag",1,mixed_food,0.0,0.99,jev-1.13.0
"Asian Kitchen, Instant nudler m. oksekødssmag, Instant nudler m. oksekødssmag",1,mixed_food,0.0,0.98,jev-1.13.0
"BEEF STICK, 20 GR. / ØKO. HANEGAL",1,animal_feed,0.13,0.54,jev-1.13.0
"BOEUF ONGLET, 0.5 KG. / DANSK KALV",1,core_beef,0.95,0.93,jev-1.13.0
"Ball tip (okse), 1,20-1,50 kg / Steak-Out - All American",1,core_beef,0.98,0.98,jev-1.13.0
"Beauv. Spaghetti Bolognese, Hakket oksekød og spaghetti i tomatsauce med løg og krydderier

Brutto vægt: 638 gram

Netto vægt: 560 gram

Beauvais' Spaghetti Bolognese er hakket oksekød og spaghetti i tomatsauce med løg og krydderier. Det italienske køkken er et af de mest populære i verden og er baseret på generationers opskrifter og traditioner. Beauvais Spaghetti Bolognese tilberedes med kvalitetsråvarer efter de originale opskrifter.",2,mixed_food,0.0,0.54,jev-1.13.0
"Beef-Stick Oksekød, 12 GR",1,animal_feed,0.03,0.64,jev-1.13.0
"Beef-Stick Vildt, 12 GR",1,animal_feed,0.02,0.79,jev-1.13.0
"Beefeater Gin          40%, 70 CL",1,other,0.03,0.89,jev-1.13.0
"Beefeater London Dry Gin, 70 CL",2,other,0.03,0.81,jev-1.13.0
"Beefeater, London Dry Gin, London Dry gin",2,other,0.02,0.66,jev-1.13.0
"Beefeater, London Pink, Gin m. jordbær",2,other,0.01,0.75,jev-1.13.0
"Best Friend, Bilanx Økologisk Paté med oksekød, Paté m. okse kornfri øko",1,prepared_beef,0.01,0.34,jev-1.13.0
"Best Friend, GO!, Godbidder m. okse",2,animal_feed,0.01,0.87,jev-1.13.0
"Best Friend, Pure ComboBone S okse og gulerødder 3 stk, Tyggeben S m. okse og gulerødder",1,animal_feed,0.0,0.96,jev-1.13.0
"Best Friend, Pure Tyggeben M okse 5 stk, Tyggeben M m. okse",1,animal_feed,0.0,1.0,jev-1.13.0
"Best Friend, Pure Tyggerulle S okse 18 stk, Tyggeruller S m. okse",1,animal_feed,0.0,1.0,jev-1.13.0
"Best Friend, Welldone Okse Bøfstang 3pak 36g, Tyggepinde m. okse",1,animal_feed,0.01,0.96,jev-1.13.0
"Brit, Beef Filets for adult cats gravy 85 g, Vådfoder i sovs m. okse",1,animal_feed,0.0,0.98,jev-1.13.0
"Brit, Brit premium bøf med tripe 400g, Paté m. okse",1,animal_feed,0.02,0.68,jev-1.13.0
"Brodo, Øko. Bone Broth Okse 390g, Oksefond øko",2,prepared_beef,0.1,0.52,jev-1.13.0
"Budget, Roastbeef i skiver 60g, Roastbeef i skiver",2,prepared_beef,0.12,0.85,jev-1.13.0
"Burgerboost, Burgerboost

Brutto vægt: 423 gram

Netto vægt: 350 gram

Drømmer du om at lave den ultimative burgerbøf derhjemme? Med Burger BOOST bøffer kan du løfte smagen til nye højder. Disse store og velformede bøffer er skabt til sande burgerentusiaster. De er lavet af det saftige og smagfulde brisket fra dansk kvæg, som er kendetegnet ved en relativ høj fedtprocent. Dette giver en uovertruffen smag og saftighed, som enhver burger fortjener og forvandler en almindelig burger til en ekstraordinær smagsoplevelse.",2,core_beef,0.73,0.67,jev-1.13.0
"Bøffer af kalvemørbrad, 2 stk. / 190 g",1,core_beef,0.98,0.97,jev-1.13.0
"Bøffer af kalvemørbrad, 2 stk. / 190 g / Bedst før: 07-01-2026",1,core_beef,0.94,0.93,jev-1.13.0
"CULOTTE, 1.15 KG. / DANSK UNGKVÆG",1,core_beef,0.99,0.98,jev-1.13.0
"CUPNUDLER OKSEKØD, 65 GR. / REMA 1000",1,mixed_food,0.19,0.58,jev-1.13.0
"CUVETTE, 1.05 KG. / DANSK UNGKVÆG",1,core_beef,0.94,0.93,jev-1.13.0
"Crave Protein Chunk Okse, 55 GR / Østrig",2,prepared_beef,0.21,0.28,jev-1.13.0
"Crave, Protein Chunk Okse, Snackstænger m. oksekød",1,prepared_beef,0.04,0.38,jev-1.13.0
"Cup Noodles 5 Spices Beef, 64 GR / Ungarn",1,mixed_food,0.06,0.84,jev-1.13.0
"Cup Noodles 5 Spices Beef, Let krydret suppe med instant nudler, oksekødssmagIoksekjøttsmak asiatisk type

Brutto vægt: 83,55 gram

Netto vægt: 64 gram",2,core_beef,0.92,0.9,jev-1.13.0
"CÔTE DE BOEUF, 500 GR. / DANSK KALV, 500-600 G",1,prepared_beef,0.16,0.65,jev-1.13.0
