study_id,citation_key,authors,publication_year,title,outlet,method,scope,estimate_type,scenario,discount_rate_pct,pulse_year,dollar_year,original_unit,estimate,interval_low,interval_high,interval_type,source_locator,source_url,preferred,eligible_for_pool,path_group,path_year,path_value,bound_type,exclusion_reason,notes
golosov2014,golosov2014,Golosov et al.,2014,Optimal Taxes on Fossil Fuel in General Equilibrium,Econometrica,analytic IAM,global,total SCC,closed-form rule,,,2010,USD/tC,,,,,eq. 18,https://doi.org/10.3982/ECTA10217,TRUE,FALSE,,,,,Theory-only,Closed-form optimal carbon tax; no comparable dated 2030 estimate.
cai2016,cai2016,Cai et al.,2016,Risk of Multiple Interacting Tipping Points Should Encourage Rapid CO2 Emission Reduction,Nature Climate Change,stochastic IAM,global,total SCC,no tipping points,,2015,2015,USD/tCO2,15,,,,abstract,https://doi.org/10.1038/nclimate2964,FALSE,FALSE,,,,,No published 2030 path,Present-day benchmark.
cai2016,cai2016,Cai et al.,2016,Risk of Multiple Interacting Tipping Points Should Encourage Rapid CO2 Emission Reduction,Nature Climate Change,stochastic IAM,global,total SCC,interacting tipping points,,2015,2015,USD/tCO2,116,,,,abstract,https://doi.org/10.1038/nclimate2964,TRUE,TRUE,,,,,Constant over time,Preferred risk specification; treated as time-invariant because no time path is reported.
nordhaus2017,nordhaus2017,Nordhaus,2017,Revisiting the Social Cost of Carbon,PNAS,DICE IAM,global,total SCC,baseline,3,2030,2010,USD/tCO2,51.6,,,,Table 1,https://doi.org/10.1073/pnas.1609244114,TRUE,TRUE,nordhaus_baseline,2030,51.6,,,Published 2030 value.
nordhaus2017,nordhaus2017,Nordhaus,2017,Revisiting the Social Cost of Carbon,PNAS,DICE IAM,global,total SCC,optimal policy,,2030,2010,USD/tCO2,51.2,,,,Table 1,https://doi.org/10.1073/pnas.1609244114,FALSE,FALSE,,,,,Alternative specification,Preserved alternative policy scenario.
nordhaus2017,nordhaus2017,Nordhaus,2017,Revisiting the Social Cost of Carbon,PNAS,DICE IAM,global,total SCC,discount rate 2.5%,2.5,2030,2010,USD/tCO2,164.6,,,,Table 1,https://doi.org/10.1073/pnas.1609244114,FALSE,FALSE,,,,,Alternative specification,
nordhaus2017,nordhaus2017,Nordhaus,2017,Revisiting the Social Cost of Carbon,PNAS,DICE IAM,global,total SCC,discount rate 4%,4,2030,2010,USD/tCO2,51.1,,,,Table 1,https://doi.org/10.1073/pnas.1609244114,FALSE,FALSE,,,,,Alternative specification,
nordhaus2017,nordhaus2017,Nordhaus,2017,Revisiting the Social Cost of Carbon,PNAS,DICE IAM,global,total SCC,discount rate 5%,5,2030,2010,USD/tCO2,29.1,,,,Table 1,https://doi.org/10.1073/pnas.1609244114,FALSE,FALSE,,,,,Alternative specification,
ricke2018,ricke2018,Ricke et al.,2018,Country-level Social Cost of Carbon,Nature Climate Change,spatial empirical IAM,global,total SCC,central SSP2-RCP6.0,2,2020,2010,USD/tCO2,417,177,805,66% model range,main text and Fig. 3,https://doi.org/10.1038/s41558-018-0282-y,TRUE,TRUE,,,,,Constant over time,Central global SCC; treated as time-invariant and the 66% model range is retained.
cailontzek2019,cailontzek2019,Cai and Lontzek,2019,The Social Cost of Carbon with Economic and Climate Risks,Journal of Political Economy,stochastic IAM,global,total SCC,risk-adjusted baseline,,,2005,USD/tC,99,,,,main quantitative comparison,https://doi.org/10.1086/701890,TRUE,TRUE,,,,,Constant over time,Original unit is per ton of carbon; treated as time-invariant.
