relative_time,treated,units,rows
-35,False,15,15
-35,True,9,9
-34,False,58,58
-34,True,33,33
-33,False,62,62
-33,True,37,37
-32,False,60,60
-32,True,35,35
-31,False,64,64
-31,True,38,38
-30,False,63,63
-30,True,38,38
-29,False,65,65
-29,True,38,38
-28,False,61,61
-28,True,35,35
-27,False,54,54
-27,True,29,29
-26,False,62,62
-26,True,38,38
-25,False,66,66
-25,True,37,37
-24,False,64,64
-24,True,37,37
-23,False,63,63
-23,True,38,38
-22,False,66,66
-22,True,39,39
-21,False,64,64
-21,True,39,39
-20,False,66,66
-20,True,36,36
-19,False,67,67
-19,True,38,38
-18,False,66,66
-18,True,39,39
-17,False,63,63
-17,True,38,38
-16,False,63,63
-16,True,39,39
-15,False,66,66
-15,True,38,38
-14,False,65,65
-14,True,37,37
-13,False,58,58
-13,True,33,33
-12,False,65,65
-12,True,37,37
-11,False,64,64
-11,True,35,35
-10,False,65,65
-10,True,35,35
-9,False,64,64
-9,True,38,38
-8,False,62,62
-8,True,38,38
-7,False,63,63
-7,True,37,37
-6,False,47,47
-6,True,25,25
-4,False,67,67
-4,True,39,39
-3,False,66,66
-3,True,38,38
-2,False,67,67
-2,True,35,35
-1,False,59,59
-1,True,38,38
1,False,65,65
1,True,38,38
2,False,64,64
2,True,37,37
3,False,61,61
3,True,37,37
4,False,63,63
4,True,36,36
5,False,66,66
5,True,37,37
6,False,65,65
6,True,38,38
7,False,60,60
7,True,38,38
8,False,64,64
8,True,37,37
9,False,61,61
9,True,38,38
10,False,39,39
10,True,25,25
15,False,65,65
15,True,39,39
16,False,57,57
16,True,32,32
17,False,61,61
17,True,37,37
18,False,62,62
18,True,37,37
19,False,59,59
19,True,38,38
20,False,63,63
20,True,36,36
21,False,66,66
21,True,35,35
22,False,65,65
22,True,38,38
23,False,61,61
23,True,38,38
24,False,65,65
24,True,38,38
25,False,58,58
25,True,36,36
26,False,61,61
26,True,38,38
27,False,65,65
27,True,38,38
28,False,65,65
28,True,36,36
29,False,64,64
29,True,39,39
30,False,62,62
30,True,39,39
31,False,61,61
31,True,32,32
32,False,63,63
32,True,36,36
33,False,65,65
33,True,37,37
34,False,63,63
34,True,34,34
35,False,63,63
35,True,39,39
36,False,64,64
36,True,38,38
37,False,65,65
37,True,37,37
38,False,65,65
38,True,38,38
39,False,65,65
39,True,37,37
40,False,67,67
40,True,38,38
41,False,66,66
41,True,38,38
42,False,57,57
42,True,32,32
43,False,65,65
43,True,36,36
44,False,64,64
44,True,38,38
45,False,60,60
45,True,38,38
46,False,64,64
46,True,37,37
47,False,64,64
47,True,37,37
48,False,62,62
48,True,37,37
49,False,46,46
49,True,23,23
50,False,40,40
50,True,22,22
51,False,39,39
51,True,23,23
52,False,41,41
52,True,23,23
53,False,41,41
53,True,23,23
54,False,40,40
54,True,20,20
55,False,40,40
55,True,21,21
56,False,39,39
56,True,21,21
57,False,41,41
57,True,23,23
58,False,66,66
58,True,37,37
59,False,64,64
59,True,37,37
60,False,62,62
60,True,35,35
61,False,60,60
61,True,38,38
62,False,63,63
62,True,37,37
63,False,64,64
63,True,39,39
64,False,64,64
64,True,37,37
65,False,61,61
65,True,39,39
66,False,67,67
66,True,39,39
67,False,67,67
67,True,39,39
68,False,67,67
68,True,38,38
69,False,64,64
69,True,36,36
70,False,64,64
70,True,39,39
71,False,64,64
71,True,37,37
72,False,63,63
72,True,38,38
73,False,62,62
73,True,37,37
74,False,64,64
74,True,40,40
75,False,60,60
75,True,37,37
76,False,63,63
76,True,36,36
77,False,58,58
77,True,35,35
78,False,61,61
78,True,36,36
79,False,63,63
79,True,37,37
80,False,62,62
80,True,36,36
81,False,63,63
81,True,38,38
82,False,63,63
82,True,38,38
83,False,66,66
83,True,38,38
84,False,63,63
84,True,38,38
85,False,64,64
85,True,37,37
86,False,68,68
86,True,37,37
87,False,65,65
87,True,38,38
88,False,66,66
88,True,38,38
89,False,65,65
89,True,36,36
90,False,65,65
90,True,38,38
91,False,66,66
91,True,38,38
92,False,58,58
92,True,33,33
93,False,64,64
93,True,38,38
94,False,66,66
94,True,38,38
95,False,64,64
95,True,37,37
96,False,66,66
96,True,38,38
97,False,65,65
97,True,38,38
98,False,62,62
98,True,36,36
99,False,63,63
99,True,35,35
100,False,65,65
100,True,38,38
101,False,65,65
101,True,37,37
102,False,20,20
102,True,20,20
