term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,treatment_group
-34,-0.9560881328373247,0.13233945629940183,-1.2154734671841523,-0.6967027984904972,-7.224513078505418,5.029004664808967e-13,-34,beef
-33,-0.7964455944801829,0.07493641889527365,-0.9433209755149192,-0.6495702134454466,-10.628284700837444,2.2012373203236888e-26,-33,beef
-32,-0.8191815908427642,0.07899329623447349,-0.9740084514623322,-0.6643547302231962,-10.370267223831393,3.38576620859303e-25,-32,beef
-31,-0.8288980566117553,0.07846498889753774,-0.9826894348509293,-0.6751066783725813,-10.563922435446447,4.3796961002593266e-26,-31,beef
-30,-0.7451571731972542,0.07661667432265325,-0.8953258548696545,-0.5949884915248538,-9.72578332047145,2.340965986380972e-22,-30,beef
-29,-0.8112297301621251,0.07616715802881116,-0.960517359898595,-0.6619421004256552,-10.65064984905,1.7315203941245966e-26,-29,beef
-28,-0.8122126857567288,0.08018044859803643,-0.9693663650088802,-0.6550590065045774,-10.129809697480532,4.0744162700476774e-24,-28,beef
-27,-0.8149853713187009,0.0815235771366666,-0.9747715825065674,-0.6551991601308343,-9.996928495329083,1.571971928939199e-23,-27,beef
-26,-0.7880653919002836,0.09873453071877777,-0.981585072109088,-0.5945457116914792,-7.981659366416634,1.4437901083277276e-15,-26,beef
-25,-0.7632055765886242,0.07980010805911122,-0.9196137883844822,-0.6067973647927662,-9.563966705700278,1.133278413678224e-21,-25,beef
-24,-0.760394746219616,0.07779675277592876,-0.9128763816604364,-0.6079131107787956,-9.774119344154569,1.454164357177839e-22,-24,beef
-23,-0.868633108867285,0.08173029498810594,-1.0288244870439727,-0.7084417306905973,-10.628043236521972,2.2069429484928902e-26,-23,beef
-22,-0.8073148118490356,0.0792944726154394,-0.9627319781752969,-0.6518976455227744,-10.181224305057597,2.4051603202292353e-24,-22,beef
-21,-0.8138644253908277,0.07964911235394577,-0.9699766856045614,-0.657752165177094,-10.218122981385735,1.6449514871314136e-24,-21,beef
-20,-0.8458640126662964,0.07809213187428149,-0.9989245911398881,-0.6928034341927047,-10.831616353207401,2.438130248715808e-27,-20,beef
-19,-0.778195549322481,0.07867162577228141,-0.9323919358361525,-0.6239991628088095,-9.891692737798547,4.523140481998374e-23,-19,beef
-18,-0.7895501496794406,0.07623369833563041,-0.9389681984172762,-0.640132100941605,-10.356970302074632,3.8909161784813743e-25,-18,beef
-17,-0.8258382908474844,0.08330970245844291,-0.9891253076660325,-0.6625512740289363,-9.912870487797438,3.6597739429691494e-23,-17,beef
-16,-0.7870675477838881,0.07736705762247985,-0.9387069807239485,-0.6354281148438277,-10.173161187342311,2.6128827940884927e-24,-16,beef
-15,-0.7967175593297964,0.07782142022618578,-0.9492475429731205,-0.6441875756864722,-10.237766890069071,1.343003525151981e-24,-15,beef
-14,-0.8108395556512804,0.07570361058418805,-0.959218632396289,-0.6624604789062718,-10.710711806137258,9.06620221117613e-27,-14,beef
-13,-0.7610590900906069,0.0786407712551302,-0.915195001750662,-0.6069231784305518,-9.677665642692416,3.7518446842141564e-22,-13,beef
-12,-0.7990269667890415,0.07643897368353642,-0.9488473552087728,-0.6492065783693102,-10.4531357275554,1.41759163527422e-25,-12,beef
-11,-0.861091896865874,0.0768416309309282,-1.0117014934904933,-0.7104823002412547,-11.206059611617258,3.807698678093273e-29,-11,beef
-10,-0.7795441920960587,0.07734495174742062,-0.9311402975210031,-0.6279480866711143,-10.078798609142009,6.855924226015953e-24,-10,beef
-9,-0.8085148116984037,0.07617465325248386,-0.957817132073272,-0.6592124913235353,-10.613961169190357,2.5663310877665563e-26,-9,beef
-8,-0.8281107618099758,0.07501912688809147,-0.975148250510635,-0.6810732731093165,-11.038661687509324,2.4870985047477084e-28,-8,beef
-7,-0.8074964050847145,0.07688839947858173,-0.9581976680627347,-0.6567951421066944,-10.502187723515474,8.440101479727822e-26,-7,beef
-6,-0.8054153607988128,0.07693954280808064,-0.9562168647026509,-0.6546138568949748,-10.468158912873387,1.2097286994824653e-25,-6,beef
-5,-0.8392031454415386,0.0918556861984635,-1.019240290390527,-0.6591660004925501,-9.136104471838088,6.474249187051784e-20,-5,beef
-4,-0.8373090302176296,0.07376582800241038,-0.981890053102354,-0.6927280073329052,-11.350906685278034,7.339760954438471e-30,-4,beef
-3,-0.7974021731388017,0.07522473224278743,-0.944842648334665,-0.6499616979429383,-10.60026602108985,2.971338170717411e-26,-3,beef
-2,-0.8204391132967719,0.07542349776008973,-0.9682691689065478,-0.672609057686996,-10.877765386941606,1.4712548953593025e-27,-2,beef
1,-0.8441845262584594,0.0744904119417418,-0.9901857336642733,-0.6981833188526455,-11.332794439621138,9.027772709757258e-30,1,beef
2,-0.7761033995320725,0.07603316510669869,-0.9251284031412019,-0.6270783959229431,-10.207432486112513,1.8366038797204025e-24,2,beef
3,-0.815761923116707,0.07997255676262338,-0.9725081343714489,-0.6590157118619652,-10.200523231213836,1.9720719160908018e-24,3,beef
4,-0.7879556164776603,0.07854619892338657,-0.941906166367498,-0.6340050665878226,-10.031747268206153,1.1054285640658819e-23,4,beef
5,-0.8329576664412359,0.07500904478733553,-0.9799753942244136,-0.6859399386580582,-11.104763016284563,1.1893241751624524e-28,5,beef
6,-0.7812686746931317,0.07628766831123715,-0.9307925045831564,-0.6317448448031069,-10.241087347246278,1.2976962688427745e-24,6,beef
7,-0.7987967235269826,0.0756867595379248,-0.9471427722213153,-0.65045067483265,-10.55398233989295,4.868868398019513e-26,7,beef
8,-0.8056511718743296,0.07729327045974581,-0.9571459819754313,-0.6541563617732278,-10.423302922521712,1.9409326302181243e-25,8,beef
9,-0.8175001270705635,0.07409281955554362,-0.962722053399429,-0.6722782007416981,-11.03345954404833,2.635286431246121e-28,9,beef
10,-0.725753073719298,0.07479203701506229,-0.87234546626882,-0.5791606811697759,-9.703614217288123,2.910037170960545e-22,10,beef
11,-0.8372884151394332,0.07410456131119109,-0.9825333553093677,-0.6920434749694987,-11.298743293592482,1.3310916585267336e-29,11,beef
12,-0.8506219377358434,0.08298803735448942,-1.0132784909506427,-0.687965384521044,-10.249934386354386,1.1842389969193136e-24,12,beef
13,-0.8516674816407485,0.08096818746695056,-1.0103651290759716,-0.6929698342055254,-10.518544483762595,7.096129696532005e-26,13,beef
14,-0.8426013698253629,0.07757444671411172,-0.9946472853850219,-0.690555454265704,-10.86184182441721,1.7517982491529165e-27,14,beef
15,-0.818845549065561,0.08173415442521764,-0.9790444917389876,-0.6586466063921343,-10.018401179090445,1.2653321316855919e-23,15,beef
16,-0.8827261594779516,0.08624142010677124,-1.0517593428872232,-0.71369297606868,-10.235524396341015,1.3744851529784213e-24,16,beef
17,-0.8242497186509621,0.0889522918175054,-0.9985962106132726,-0.6499032266886515,-9.26619991244288,1.9289605701996418e-20,17,beef
18,-0.8351285805282748,0.07462442528212881,-0.9813924540812472,-0.6888647069753023,-11.191088941334504,4.5086215743637864e-29,18,beef
19,-0.8217336058230174,0.07677087236769392,-0.9722045156636975,-0.6712626959823372,-10.703715881816818,9.777685186971033e-27,19,beef
20,-0.8074810371498298,0.08291320443842456,-0.9699909178491419,-0.6449711564505176,-9.738871421252389,2.0582748364823238e-22,20,beef
21,-0.8184697434356843,0.08562389075623583,-0.9862925693179065,-0.6506469175534622,-9.558894558596974,1.1902116265893397e-21,21,beef
22,-0.8919042159038446,0.08090797940808271,-1.0504838555436868,-0.7333245762640025,-11.023686692325718,2.9377518788863905e-28,22,beef
23,-0.8577712840249718,0.078812962120218,-1.0122446897805992,-0.7032978782693445,-10.88363209489022,1.3795417606409028e-27,23,beef
24,-0.8500168785910225,0.08868523908599829,-1.0238399471995792,-0.6761938099824658,-9.584648892548612,9.277264459691107e-22,24,beef
25,-0.8430757754504155,0.08423994256082684,-1.008186062869636,-0.6779654880311948,-10.008028849754481,1.4052443027009248e-23,25,beef
26,-0.8385283761130937,0.0844658301713952,-1.0040814032490284,-0.6729753489771592,-9.927427154999606,3.1631175350312317e-23,26,beef
27,-0.8830187218022605,0.07974391165991385,-1.0393167886556915,-0.7267206549488293,-11.073180427467564,1.6928393777707311e-28,27,beef
28,-0.8225071975670516,0.08011663832773262,-0.9795358086894075,-0.6654785864446957,-10.266371814084692,9.989100397911854e-25,28,beef
29,-0.8535882416797611,0.08244176952886277,-1.015174109956332,-0.69200237340319,-10.353832123665429,4.020633149548167e-25,29,beef
30,-0.9000395644133234,0.08491912664465798,-1.066481052636853,-0.7335980761897938,-10.598784984912966,3.0187656958843736e-26,30,beef
31,-0.8534043681001551,0.07938304121657935,-1.0089951288846506,-0.6978136073156596,-10.750462000716588,5.896552558087402e-27,31,beef
32,-0.7848240944325098,0.08173394668696915,-0.9450226299389693,-0.6246255589260502,-9.602180320966127,7.82708951804168e-22,32,beef
33,-0.8491651395662159,0.08266079127248219,-1.011180290460281,-0.6871499886721508,-10.272889074664633,9.33659445659278e-25,33,beef
34,-0.8288870397144974,0.08170797214459244,-0.9890346651178986,-0.6687394143110962,-10.144506318767506,3.5054632289340614e-24,34,beef
