term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period,treatment_group
-8,-0.07249831368715977,0.023497273779996334,-0.11855297029595258,-0.026443657078366954,-3.0853925594074205,0.0020328365374761314,-8,True,dairy_cattle
-7,-0.039832515471151714,0.012614430180314915,-0.06455679862456895,-0.01510823231773448,-3.1576943945760783,0.001590221709985727,-7,True,dairy_cattle
-6,-0.03512210338879959,0.012283116120519777,-0.05919701098501835,-0.01104719579258083,-2.859380554916821,0.004244692363111224,-6,True,dairy_cattle
-5,-0.002962287686243917,0.012427654935784554,-0.027320491360381643,0.02139591598789381,-0.2383625632953663,0.8115999008420749,-5,True,dairy_cattle
-4,0.021436769129331873,0.010071573828581074,0.001696484425312967,0.04117705383335078,2.1284428326880445,0.03330038502077296,-4,True,dairy_cattle
-3,0.012833181445569622,0.009268060574886595,-0.005332217281208102,0.030998580172347346,1.3846674114693787,0.16615418823940956,-3,True,dairy_cattle
-2,0.029226963559285002,0.010440488139024554,0.008763606806796876,0.04969032031177313,2.799386692470842,0.005119978213751603,-2,True,dairy_cattle
1,0.03935511802936789,0.010144468138847403,0.019471960477226984,0.0592382755815088,3.8794658813763454,0.00010468608306660484,1,False,dairy_cattle
2,0.02300058459191448,0.0105392335796378,0.002343686775824392,0.04365748240800457,2.1823773444354138,0.029081694969199687,2,False,dairy_cattle
3,-0.43728571679230244,0.0981104670076625,-0.629582232127321,-0.24498920145728392,-4.457075071899822,8.308551291059982e-06,3,False,dairy_cattle
4,0.03880169718552358,0.01117311525055556,0.01690239129443468,0.06070100307661248,3.4727733774691214,0.0005151101085852724,4,False,dairy_cattle
5,0.042116524231549185,0.011473368258867425,0.019628722444169033,0.06460432601892933,3.670807323646966,0.00024178555918094352,5,False,dairy_cattle
6,0.054765818176992914,0.01160789882040605,0.032014336488997056,0.07751729986498877,4.717978595809054,2.3819954774643035e-06,6,False,dairy_cattle
7,0.03969007335381092,0.011042027172261644,0.018047700096178097,0.06133244661144374,3.594455323703169,0.00032507091722074825,7,False,dairy_cattle
8,-0.001514351856532578,0.012162777972362343,-0.02535339668236277,0.022324692969297615,-0.12450707066869607,0.900913802359425,8,False,dairy_cattle
9,0.010487897276524522,0.012551487462640731,-0.014113018150251313,0.03508881270330036,0.8355899894527682,0.40338560230129594,9,False,dairy_cattle
10,0.05197848240768059,0.012779405744280168,0.026930847148891462,0.07702611766646972,4.067363025150463,4.754814025673357e-05,10,False,dairy_cattle
11,-0.017058283662199206,0.01544484236305664,-0.04733017469379022,0.013213607369391811,-1.1044647307635747,0.26939159477683716,11,False,dairy_cattle
12,0.042717598055014794,0.011081725662377345,0.0209974157567552,0.06443778035327438,3.8547785206451914,0.00011583444530097595,12,False,dairy_cattle
13,0.03978895546634942,0.00998135269226227,0.020225504189515367,0.05935240674318347,3.986328976952648,6.71034558306958e-05,13,False,dairy_cattle
14,0.010028588418691767,0.012673437336428036,-0.014811348760707183,0.03486852559809071,0.7913076896562216,0.42876446224477976,14,False,dairy_cattle
15,0.012450608391876172,0.013911321306911726,-0.014815581369670809,0.039716798153423154,0.8949982620047882,0.37078801704715164,15,False,dairy_cattle
16,-0.006143559966701226,0.013809778828363829,-0.03321072647029433,0.02092360653689188,-0.4448702649808556,0.6564135123194532,16,False,dairy_cattle
17,0.0073586214568272384,0.013589390457630631,-0.0192765838401288,0.03399382675378328,0.5414975366091767,0.5881646951222574,17,False,dairy_cattle
18,0.08292834994952028,0.013371656036613963,0.05671990411775692,0.10913679578128364,6.201801012712844,5.582062958195333e-10,18,False,dairy_cattle
19,0.04850877754389407,0.012447971652699341,0.024110753104603363,0.07290680198318478,3.896922237397203,9.74228832752327e-05,19,False,dairy_cattle
20,0.04132418477151771,0.013517226994399036,0.0148304198624956,0.06781794968053982,3.057149575770289,0.0022345274205608275,20,False,dairy_cattle
21,0.03847045300390983,0.013154815702263102,0.012687014227474154,0.06425389178034552,2.924438766351666,0.003450779647295331,21,False,dairy_cattle
22,0.06773197691542847,0.014341081216328431,0.03962345773142474,0.0958404960994322,4.722933779798302,2.32466559666652e-06,22,False,dairy_cattle
23,0.03672220432103224,0.012713579259368078,0.011803588972670805,0.061640819669393665,2.8884237532064985,0.0038717788363795192,23,False,dairy_cattle
24,0.07476838663177622,0.023300970728823228,0.029098484003282694,0.12043828926026975,3.2088099462434823,0.0013328556370273094,24,False,dairy_cattle
