term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period,treatment_group
-8,0.3881306189008783,0.31590923038093954,-0.2310514726457632,1.0073127104475197,1.2286143663255755,0.21921642650807918,-8,True,mixed_livestock
-7,-0.41638543471993195,0.11035100790728054,-0.6326734102182018,-0.20009745922166208,-3.7732816638139686,0.00016111421955303343,-7,True,mixed_livestock
-6,-0.01442108012383514,0.09138189373340665,-0.19352959184131216,0.16468743159364188,-0.15781113232241104,0.874605626259555,-6,True,mixed_livestock
-5,0.006561550937698946,0.0804838034119796,-0.15118670374978105,0.16430980562517894,0.08152635262664902,0.9350233682640363,-5,True,mixed_livestock
-4,-0.2109142102404561,0.11187117387785785,-0.43018171104105746,0.008353290560145277,-1.8853311619911532,0.0593851414738956,-4,True,mixed_livestock
-3,-0.15626178988064165,0.1000678862800303,-0.3523948469895011,0.03987126722821774,-1.5615578152950902,0.11839219381184701,-3,True,mixed_livestock
-2,-0.18254672594896548,0.11971397564182172,-0.4171861182069361,0.05209266630900508,-1.524857268921853,0.1272947019882815,-2,True,mixed_livestock
1,-0.19507582969772408,0.09742882087045959,-0.38603631860382487,-0.00411534079162329,-2.0022394600987217,0.04525898360879742,1,False,mixed_livestock
2,-0.27823962231356636,0.11059798303059154,-0.4950116690535258,-0.061467575573606936,-2.515774833222817,0.011877103529311732,2,False,mixed_livestock
3,0.12399448321070228,0.37139571630441215,-0.6039411207459455,0.8519300871673501,0.33386083298028935,0.7384845763442209,3,False,mixed_livestock
4,-0.019847502313693477,0.26807381722563195,-0.5452721840759321,0.5055771794485452,-0.07403745177019008,0.9409805848198147,4,False,mixed_livestock
5,0.7601273766576697,0.5688679244224093,-0.3548537552102524,1.8751085085255919,1.3362106457829426,0.18148043241442602,5,False,mixed_livestock
6,0.41862499795298036,0.5378723593062168,-0.6356048262872045,1.4728548221931652,0.7782980305828514,0.4363933362621229,6,False,mixed_livestock
7,0.8228537180521024,0.5492345956278785,-0.2536460893785394,1.899353525482744,1.4981826064897201,0.1340858134164085,7,False,mixed_livestock
8,1.105172371901601,0.5743016552467788,-0.020458872382085547,2.2308036161852876,1.9243760866868922,0.05430745965221237,8,False,mixed_livestock
9,0.9548710300881944,0.5701595070835243,-0.16264160379551318,2.0723836639719018,1.6747436782603937,0.09398453363264372,9,False,mixed_livestock
10,0.8546307616991737,0.660699073904589,-0.4403394231538207,2.149600946552168,1.2935249880834405,0.19582954736982996,10,False,mixed_livestock
11,0.8852845386768976,0.5825176498947234,-0.2564500551167602,2.0270191324705555,1.5197557341599732,0.1285723781915849,11,False,mixed_livestock
12,1.0247255850330355,0.5017228415716023,0.041348815552694984,2.008102354513376,2.042413659747229,0.04111051591112573,12,False,mixed_livestock
13,1.0270409557115057,0.7197496308350175,-0.3836683207251286,2.43775023214814,1.426941969417871,0.15359662215575326,13,False,mixed_livestock
14,1.367500413069478,0.628636671261547,0.13537253739684574,2.5996282887421103,2.175343048831657,0.029604418829255463,14,False,mixed_livestock
15,1.2139927061621099,0.6696201639878491,-0.0984628152540743,2.5264482275782942,1.8129572128358713,0.06983842086781708,15,False,mixed_livestock
16,1.2704683607826672,0.6606749656774197,-0.024454571945075276,2.5653912935104097,1.9229854721073,0.05448187439922196,16,False,mixed_livestock
17,0.4231131599130913,0.5212385716745352,-0.5985144405689977,1.4447407603951803,0.8117456821236282,0.4169375757663634,17,False,mixed_livestock
18,0.8894732280268056,0.6649296187079765,-0.41378882464082833,2.1927352806944396,1.3376953033843482,0.18099578262582056,18,False,mixed_livestock
19,0.9066338680851462,0.5914586812325778,-0.2526251471307064,2.065892883300999,1.5328777763406145,0.12530597253267464,19,False,mixed_livestock
20,0.49148925211991473,0.4787590152108054,-0.4468784176932638,1.4298569219330932,1.0265900724678867,0.3046135306455649,20,False,mixed_livestock
21,1.3294779427039505,0.7223477136027294,-0.08632357595739926,2.7452794613653,1.8404958133987053,0.0656954783527678,21,False,mixed_livestock
22,0.8823918514332401,0.6711347970035241,-0.4330323506936671,2.197816053560147,1.3147758920755328,0.18858523193179327,22,False,mixed_livestock
23,0.9312073853704772,0.6072392037630875,-0.25898145400517425,2.1213962247461287,1.5335099901319693,0.12515024707930922,23,False,mixed_livestock
24,0.7986396039201604,0.5894302444822621,-0.35664367526507323,1.953922883105394,1.3549348907633023,0.17543830205860872,24,False,mixed_livestock
