term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period,treatment_group
-8,-0.025399499861946197,0.022921805779275363,-0.07032623918932591,0.019527239465433516,-1.1080933198077714,0.26782151566322393,-8,True,pork
-7,-0.01861702969221978,0.015275351291087277,-0.048556718222750844,0.01132265883831128,-1.2187627857096992,0.22293423992462247,-7,True,pork
-6,-0.014409331320941214,0.015493083382428007,-0.044775774750500104,0.01595711210861768,-0.9300492978230552,0.3523455605808573,-6,True,pork
-5,-0.009402337909072746,0.012244880973407476,-0.0334023046169514,0.014597628798805906,-0.7678586610594293,0.44257115927490537,-5,True,pork
-4,0.025444562269091517,0.012458276423796785,0.0010263404784498185,0.04986278405973321,2.0423822207451896,0.041113631951857174,-4,True,pork
-3,-0.01462425396823552,0.013302335157889224,-0.0406968308776984,0.01144832294122736,-1.0993749439219553,0.27160455517637894,-3,True,pork
-2,-0.034392737290427224,0.011528103291142186,-0.05698781974106591,-0.011797654839788538,-2.9833821246946552,0.0028508182317303517,-2,True,pork
1,-0.03741739194705044,0.00923897267127115,-0.05552577838274189,-0.019309005511358987,-4.049951577776704,5.122823206671686e-05,1,False,pork
2,-0.027088644947539868,0.008861567213292528,-0.044457316685593225,-0.009719973209486511,-3.0568684179144245,0.002236624347577653,2,False,pork
3,-0.16602722914629434,0.09013182569386506,-0.34268560750626986,0.01063114921368119,-1.8420488863746072,0.06546799938911022,3,False,pork
4,-0.03623979752512894,0.010503100854742502,-0.056825875200424245,-0.015653719849833634,-3.4503903205657074,0.0005597765740516175,4,False,pork
5,-0.05433223361563351,0.012480934526232538,-0.07879486528704928,-0.029869601944217738,-4.35321838292137,1.341533940759975e-05,5,False,pork
6,-0.044298956100079834,0.012320029356747178,-0.06844621363930431,-0.020151698560855365,-3.5956859206523806,0.00032353796157614037,6,False,pork
7,-0.0431771405437639,0.010626356155691956,-0.06400479860892014,-0.022349482478607664,-4.063212253678913,4.8401979357542254e-05,7,False,pork
8,-0.06220247907609185,0.014562760416329815,-0.09074548949209829,-0.033659468660085415,-4.271338489256589,1.9430322457698457e-05,8,False,pork
9,-0.07347530013955218,0.017128713260093496,-0.10704757812933544,-0.03990302214976893,-4.289598350083603,1.789965349322956e-05,9,False,pork
10,-0.05775057084240219,0.012084430537950639,-0.08143605469678544,-0.03406508698801894,-4.778923645681026,1.7623609987746714e-06,10,False,pork
11,-0.08289981655964243,0.019298191592916177,-0.12072427208175814,-0.045075361037526726,-4.295729792115476,1.741195661884893e-05,11,False,pork
12,-0.0274676502737566,0.012143692043170624,-0.05126928667837102,-0.0036660138691421776,-2.261886267875499,0.023704431009093474,12,False,pork
13,-0.05340416445748598,0.021090492575110864,-0.09474152990470328,-0.012066799010268685,-2.5321440107334836,0.011336741982196185,13,False,pork
14,-0.042102231174406236,0.017412838589828467,-0.07623139481047003,-0.00797306753834244,-2.4178844223020493,0.015611034453283214,14,False,pork
15,-0.05374101940488167,0.01600645105177865,-0.08511366346636781,-0.022368375343395523,-3.357460016029595,0.0007866211965945797,15,False,pork
16,-0.048208399931248036,0.014364828627247042,-0.07636346404065224,-0.020053335821843835,-3.356002440558664,0.0007907787092859844,16,False,pork
17,-0.06466088827321037,0.01615697818455115,-0.09632856551493063,-0.03299321103149012,-4.002040946928882,6.279842707112024e-05,17,False,pork
18,-0.03280229874610706,0.01613351189052218,-0.06442398205153052,-0.0011806154406835898,-2.033177833115005,0.04203455973558543,18,False,pork
19,-0.014344728352298924,0.01705525018427997,-0.04777301871348767,0.01908356200888982,-0.8410740503543379,0.40030645147234006,19,False,pork
20,-0.033277504525331195,0.02125462251433348,-0.07493656465342481,0.008381555602762422,-1.565659634881299,0.11742832085980745,20,False,pork
21,-0.04495634707130309,0.01421351548517676,-0.07281483742224953,-0.01709785672035664,-3.162929474990755,0.0015619016430607957,21,False,pork
22,-0.03617221526415796,0.019112594361019117,-0.07363290021175542,0.0012884696834395068,-1.8925853068870966,0.058413039250676306,22,False,pork
23,-0.046092145383321445,0.01895605364948247,-0.08324601053630709,-0.008938280230335806,-2.4315264261018714,0.01503535148244192,23,False,pork
24,-0.062416691423885444,0.03454605404390365,-0.1301269573499366,0.005293574502165714,-1.806767607801509,0.07079852126974946,24,False,pork
