term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,treatment_group
-34,-0.31434783000067185,0.07593749401175282,-0.46318531826370735,-0.16551034173763632,-4.139560227679101,3.479722391342724e-05,-34,poultry_other_livestock
-33,-0.22456351140904232,0.013639227737157613,-0.25129639777387125,-0.1978306250442134,-16.464532724038296,6.59700893637889e-61,-33,poultry_other_livestock
-32,-0.17882390119122302,0.01921677871040979,-0.2164887874636262,-0.14115901491881983,-9.305612760912606,1.3322191348672731e-20,-32,poultry_other_livestock
-31,-0.21498299268865334,0.026003930674123918,-0.2659506968099362,-0.16401528856737047,-8.267326789275721,1.369960685669065e-16,-31,poultry_other_livestock
-30,-0.1760065776097376,0.0235312246782548,-0.22212777797911698,-0.1298853772403582,-7.47970324606119,7.449062458028798e-14,-30,poultry_other_livestock
-29,-0.23013780086154245,0.019723217399677632,-0.2687953069649106,-0.1914802947581743,-11.668370134443885,1.8493225530116644e-31,-29,poultry_other_livestock
-28,-0.17458718974684417,0.02169492470147629,-0.21710924216173771,-0.13206513733195063,-8.047374773094461,8.4588850107435e-16,-28,poultry_other_livestock
-27,-0.22678718201865752,0.020745401283677373,-0.2674481685346652,-0.18612619550264986,-10.93192553460488,8.110879910659182e-28,-27,poultry_other_livestock
-26,-0.22162319474331493,0.04286910530324299,-0.3056466411376712,-0.13759974834895866,-5.169764873225601,2.343887077137794e-07,-26,poultry_other_livestock
-25,-0.1837613670570752,0.023853230133006078,-0.2305136981177671,-0.13700903599638328,-7.703835750228301,1.320415477224703e-14,-25,poultry_other_livestock
-24,-0.27703897851591547,0.020028171593406034,-0.3162941948389913,-0.23778376219283964,-13.832464797092426,1.62360392776398e-43,-24,poultry_other_livestock
-23,-0.2470842179547355,0.01889393648022756,-0.28411633345598153,-0.2100521024534895,-13.077434562845509,4.431453015639948e-39,-23,poultry_other_livestock
-22,-0.2433651156913217,0.021781159244311028,-0.2860561878101713,-0.20067404357247207,-11.173193904033628,5.516105029206473e-29,-22,poultry_other_livestock
-21,-0.21133066085846544,0.02915640297275191,-0.2684772106850592,-0.15418411103187168,-7.248173276242762,4.22429982428044e-13,-21,poultry_other_livestock
-20,-0.24317231853901075,0.016906373903759014,-0.27630881139037844,-0.2100358256876431,-14.383469803950277,6.571552078481115e-47,-20,poultry_other_livestock
-19,-0.1695141521462755,0.019474116332038566,-0.20768342015707109,-0.1313448841354799,-8.704587630884847,3.1873149216743705e-18,-19,poultry_other_livestock
-18,-0.22183720883550415,0.019752388735484686,-0.26055189075705415,-0.18312252691395417,-11.23090537586368,2.8751716281847085e-29,-18,poultry_other_livestock
-17,-0.24909000149829896,0.01975659095575408,-0.28781291977157697,-0.21036708322502096,-12.607944460466335,1.9090738435181986e-36,-17,poultry_other_livestock
-16,-0.22709169143486851,0.015991803911952845,-0.25843562710229606,-0.19574775576744094,-14.200505001510935,9.095459142460653e-46,-16,poultry_other_livestock
-15,-0.18297737421502774,0.020534671733400088,-0.2232253308124919,-0.14272941761756358,-8.910654944505934,5.073197612958068e-19,-15,poultry_other_livestock
-14,-0.20490455913463806,0.021730037267109904,-0.2474954321781735,-0.16231368609110264,-9.429553967897562,4.1183649427848674e-21,-14,poultry_other_livestock
-13,-0.19965846124524095,0.022063581997659003,-0.24290308196065258,-0.15641384052982932,-9.049231501323094,1.4397804022531286e-19,-13,poultry_other_livestock
-12,-0.22357971588123213,0.019950938969350556,-0.26268355626115925,-0.18447587550130504,-11.20647585683583,3.78984020188185e-29,-12,poultry_other_livestock
-11,-0.2734241910825915,0.016895615672944512,-0.3065395978015627,-0.24030878436362024,-16.18314457285119,6.631905731037538e-59,-11,poultry_other_livestock
-10,-0.1433647514739127,0.015089859570246913,-0.17294087623159665,-0.11378862671622875,-9.500734636165129,2.0841473349404766e-21,-10,poultry_other_livestock
-9,-0.27288563717854597,0.02061102551170304,-0.3132832471814839,-0.23248802717560801,-13.239789404151686,5.169357382598391e-40,-9,poultry_other_livestock
-8,-0.25823525978268697,0.01849687453874961,-0.2944891338786362,-0.22198138568673773,-13.961021319666889,2.6954332969575757e-44,-8,poultry_other_livestock
-7,-0.22605375435271172,0.017792156813243618,-0.2609263817066692,-0.19118112699875422,-12.705247414661288,5.5294276129121276e-37,-7,poultry_other_livestock
-6,-0.21684931326284787,0.015527978450175546,-0.24728415102519194,-0.1864144755005038,-13.965070466748127,2.546534598659298e-44,-6,poultry_other_livestock
-5,-0.2972437217772396,0.041494317611866983,-0.3785725842964989,-0.21591485925798032,-7.163480179566339,7.865423934638143e-13,-5,poultry_other_livestock
-4,-0.2276830068832632,0.014708698723825072,-0.25651205638196034,-0.19885395738456607,-15.479479943012462,4.7731575309013245e-54,-4,poultry_other_livestock
-3,-0.17980623349604505,0.01647096936332641,-0.2120893334481648,-0.1475231335439253,-10.916554425533345,9.607158121960054e-28,-3,poultry_other_livestock
