attribution_share,taxable_share,persistence,incremental_pass_through,damage_dkk_kg,announcement_dkk_kg,implementation_dkk_kg,remaining_gap_dkk_kg
0,.25,1,1,65.91385890609959,0,1.876290787221905,64.03756811887769
.5,.25,1,1,65.91385890609959,4.895610765876381,1.876290787221905,59.1419573530013
1,.25,1,1,65.91385890609959,9.791221531752763,1.876290787221905,54.24634658712493
0,.5,1,1,65.91385890609959,0,3.75258157444381,62.16127733165578
.5,.5,1,1,65.91385890609959,4.895610765876381,3.75258157444381,57.2656665657794
1,.5,1,1,65.91385890609959,9.791221531752763,3.75258157444381,52.37005579990302
0,.75,1,1,65.91385890609959,0,5.628872361665715,60.28498654443388
.5,.75,1,1,65.91385890609959,4.895610765876381,5.628872361665715,55.38937577855749
1,.75,1,1,65.91385890609959,9.791221531752763,5.628872361665715,50.49376501268112
0,1,1,1,65.91385890609959,0,7.50516314888762,58.40869575721197
.5,1,1,1,65.91385890609959,4.895610765876381,7.50516314888762,53.51308499133559
1,1,1,1,65.91385890609959,9.791221531752763,7.50516314888762,48.61747422545921
