weight,unit_numeric,geo,country,total_weight,squared_weight,concentration_hhi,effective_donors
.215128325189368,11,FI,Finland,1,.0462801962987825,.1239747979039349,8.066155516340311
.1956613496972917,21,NL,Netherlands,1,.0382833637653659,.1239747979039349,8.066155516340311
.1305333536950928,5,CZ,Czechia,1,.0170389564268882,.1239747979039349,8.066155516340311
.0696606026536765,4,CY,Cyprus,1,.0048525995620734,.1239747979039349,8.066155516340311
.0627026473431057,18,LU,Luxembourg,1,.0039316219838339,.1239747979039349,8.066155516340311
.0607198747013261,22,PL,Poland,1,.0036869031837447,.1239747979039349,8.066155516340311
.0557443585926923,12,FR,France,1,.0031074335149107,.1239747979039349,8.066155516340311
.0482501202493341,6,DE,Germany,1,.0023280741040752,.1239747979039349,8.066155516340311
.0371659103215275,14,HU,Hungary,1,.0013813048900278,.1239747979039349,8.066155516340311
.0303346747768108,25,SE,Sweden,1,.0009201924938149,.1239747979039349,8.066155516340311
.0276583682411131,26,SI,Slovenia,1,.000764985333761,.1239747979039349,8.066155516340311
.0257004438739266,23,PT,Portugal,1,.0006605128153168,.1239747979039349,8.066155516340311
.0246686457688488,13,HR,Croatia,1,.0006085420840689,.1239747979039349,8.066155516340311
.0087312576306525,2,BE,Belgium,1,.0000762348598128,.1239747979039349,8.066155516340311
.007340067265234,19,LV,Latvia,1,.0000538765874582,.1239747979039349,8.066155516340311
0,1,AT,Austria,1,0,.1239747979039349,8.066155516340311
0,3,BG,Bulgaria,1,0,.1239747979039349,8.066155516340311
0,8,EE,Estonia,1,0,.1239747979039349,8.066155516340311
0,9,EL,Greece,1,0,.1239747979039349,8.066155516340311
0,10,ES,Spain,1,0,.1239747979039349,8.066155516340311
0,15,IE,Ireland,1,0,.1239747979039349,8.066155516340311
0,16,IT,Italy,1,0,.1239747979039349,8.066155516340311
0,17,LT,Lithuania,1,0,.1239747979039349,8.066155516340311
0,20,MT,Malta,1,0,.1239747979039349,8.066155516340311
0,24,RO,Romania,1,0,.1239747979039349,8.066155516340311
0,27,SK,Slovakia,1,0,.1239747979039349,8.066155516340311
