dyrkat,enhed,tid,production_million_kg,month,yoy_percent
"Cattle, total",Production (m kg),2020M01,11.6,2020m1,
"Cattle, total",Production (m kg),2020M02,9.800000000000001,2020m2,
"Cattle, total",Production (m kg),2020M03,11,2020m3,
"Cattle, total",Production (m kg),2020M04,9.300000000000001,2020m4,
"Cattle, total",Production (m kg),2020M05,9.199999999999999,2020m5,
"Cattle, total",Production (m kg),2020M06,11.9,2020m6,
"Cattle, total",Production (m kg),2020M07,10,2020m7,
"Cattle, total",Production (m kg),2020M08,11.8,2020m8,
"Cattle, total",Production (m kg),2020M09,12.4,2020m9,
"Cattle, total",Production (m kg),2020M10,12.4,2020m10,
"Cattle, total",Production (m kg),2020M11,11.9,2020m11,
"Cattle, total",Production (m kg),2020M12,11.3,2020m12,
"Cattle, total",Production (m kg),2021M01,10.7,2021m1,-7.758620689655171
"Cattle, total",Production (m kg),2021M02,9.5,2021m2,-3.061224489795922
"Cattle, total",Production (m kg),2021M03,12.2,2021m3,10.90909090909091
"Cattle, total",Production (m kg),2021M04,9.800000000000001,2021m4,5.376344086021501
"Cattle, total",Production (m kg),2021M05,10.4,2021m5,13.04347826086958
"Cattle, total",Production (m kg),2021M06,11.9,2021m6,0
"Cattle, total",Production (m kg),2021M07,8.9,2021m7,-11
"Cattle, total",Production (m kg),2021M08,12,2021m8,1.694915254237284
"Cattle, total",Production (m kg),2021M09,12.4,2021m9,0
"Cattle, total",Production (m kg),2021M10,11.4,2021m10,-8.064516129032262
"Cattle, total",Production (m kg),2021M11,12.8,2021m11,7.563025210084029
"Cattle, total",Production (m kg),2021M12,11.4,2021m12,.8849557522123908
"Cattle, total",Production (m kg),2022M01,10.8,2022m1,.9345794392523477
"Cattle, total",Production (m kg),2022M02,9.300000000000001,2022m2,-2.105263157894732
"Cattle, total",Production (m kg),2022M03,11.5,2022m3,-5.737704918032782
"Cattle, total",Production (m kg),2022M04,9.699999999999999,2022m4,-1.020408163265318
"Cattle, total",Production (m kg),2022M05,10.4,2022m5,0
"Cattle, total",Production (m kg),2022M06,11.7,2022m6,-1.680672268907568
"Cattle, total",Production (m kg),2022M07,8.800000000000001,2022m7,-1.123595505617969
"Cattle, total",Production (m kg),2022M08,12.4,2022m8,3.333333333333344
"Cattle, total",Production (m kg),2022M09,11.9,2022m9,-4.032258064516125
"Cattle, total",Production (m kg),2022M10,11.5,2022m10,.8771929824561431
"Cattle, total",Production (m kg),2022M11,12.7,2022m11,-.7812500000000111
"Cattle, total",Production (m kg),2022M12,10.5,2022m12,-7.894736842105265
"Cattle, total",Production (m kg),2023M01,10.6,2023m1,-1.85185185185186
"Cattle, total",Production (m kg),2023M02,9.6,2023m2,3.2258064516129
"Cattle, total",Production (m kg),2023M03,11.1,2023m3,-3.47826086956522
"Cattle, total",Production (m kg),2023M04,9.300000000000001,2023m4,-4.123711340206171
"Cattle, total",Production (m kg),2023M05,10.6,2023m5,1.923076923076916
"Cattle, total",Production (m kg),2023M06,12.1,2023m6,3.418803418803429
"Cattle, total",Production (m kg),2023M07,9.800000000000001,2023m7,11.36363636363635
"Cattle, total",Production (m kg),2023M08,11.8,2023m8,-4.838709677419351
"Cattle, total",Production (m kg),2023M09,10.9,2023m9,-8.403361344537819
"Cattle, total",Production (m kg),2023M10,11.5,2023m10,0
"Cattle, total",Production (m kg),2023M11,12.4,2023m11,-2.362204724409445
"Cattle, total",Production (m kg),2023M12,9.9,2023m12,-5.714285714285716
"Cattle, total",Production (m kg),2024M01,10.9,2024m1,2.830188679245293
"Cattle, total",Production (m kg),2024M02,10.1,2024m2,5.208333333333326
"Cattle, total",Production (m kg),2024M03,9.6,2024m3,-13.51351351351351
"Cattle, total",Production (m kg),2024M04,11.4,2024m4,22.58064516129032
"Cattle, total",Production (m kg),2024M05,10.8,2024m5,1.886792452830188
"Cattle, total",Production (m kg),2024M06,10.5,2024m6,-13.22314049586777
"Cattle, total",Production (m kg),2024M07,9.9,2024m7,1.020408163265296
"Cattle, total",Production (m kg),2024M08,10.7,2024m8,-9.322033898305094
"Cattle, total",Production (m kg),2024M09,11,2024m9,.917431192660545
"Cattle, total",Production (m kg),2024M10,12,2024m10,4.347826086956519
"Cattle, total",Production (m kg),2024M11,11.7,2024m11,-5.645161290322587
"Cattle, total",Production (m kg),2024M12,9.6,2024m12,-3.030303030303039
"Cattle, total",Production (m kg),2025M01,11.4,2025m1,4.587155963302747
"Cattle, total",Production (m kg),2025M02,9.5,2025m2,-5.940594059405935
"Cattle, total",Production (m kg),2025M03,10.3,2025m3,7.291666666666674
"Cattle, total",Production (m kg),2025M04,10,2025m4,-12.28070175438597
"Cattle, total",Production (m kg),2025M05,11,2025m5,1.851851851851838
"Cattle, total",Production (m kg),2025M06,10.5,2025m6,0
"Cattle, total",Production (m kg),2025M07,9.800000000000001,2025m7,-1.010101010101006
"Cattle, total",Production (m kg),2025M08,10,2025m8,-6.542056074766345
"Cattle, total",Production (m kg),2025M09,11.2,2025m9,1.818181818181808
