relative_time,estimate,std_error,conf_low,conf_high
-8,-.0131978243983717,.033969644,-.079782285,.053386636
-7,.013418938833856,.034177687,-.053573307,.080411188
-6,-.0025940904361603,.041069109,-.083094329,.077906147
-5,.0475148289282028,.024809292,-.0011142709,.096143931
-4,.0314881313442606,.021900656,-.011439706,.074415967
-3,.0232047729666832,.020004466,-.01600631,.062415857
-2,.011623119910953,.021219298,-.029969174,.053215414
-1,0,,,
0,.0233526183306123,.02050611,-.016841747,.063546985
1,.015434540939257,.019213686,-.022226524,.053095605
2,.0002712549725727,.086097494,-.16848986,.16903237
3,.0284049620744127,.027198754,-.024907762,.081717685
4,.0137616574737335,.02111195,-.027620224,.055143539
5,.0330316933084496,.026761679,-.019424314,.085487701
6,.0154309272588395,.028191641,-.039827976,.070689827
7,.0133665746903281,.024872074,-.03538559,.062118739
8,.0635761024980296,.029206166,.0063286149,.12082359
9,.0839202113215131,.028766837,.027533859,.14030656
10,.0495299035880679,.047264718,-.04311445,.14217426
11,.0794087263417553,.029841824,.020915274,.13790219
12,.1050250699536656,.034997489,.036425915,.17362423
13,.0824075726785297,.048308786,-.012283275,.17709842
14,.074531839743683,.031846691,.012108615,.13695507
