geo,month,measure,value,flag
AT,2020m1,THS_HD,59.950001,
BE,2020m1,THS_HD,70.139999,
BG,2020m1,THS_HD,2.74,
CY,2020m1,THS_HD,1.75,
CZ,2020m1,THS_HD,21.690001,
DE,2020m1,THS_HD,299,
EE,2020m1,THS_HD,2.97,
EL,2020m1,THS_HD,11.96,
ES,2020m1,THS_HD,207.49001,p
FI,2020m1,THS_HD,23.18,
FR,2020m1,THS_HD,392.31,p
HR,2020m1,THS_HD,14.3,
HU,2020m1,THS_HD,10.44,
IE,2020m1,THS_HD,165.37,
IT,2020m1,THS_HD,234.42999,
LT,2020m1,THS_HD,13.79,
LU,2020m1,THS_HD,2.6199999,
LV,2020m1,THS_HD,6.1300001,
MT,2020m1,THS_HD,.41999999,
NL,2020m1,THS_HD,185.2,
PL,2020m1,THS_HD,163.12,
PT,2020m1,THS_HD,30.559999,
RO,2020m1,THS_HD,10.57,p
SE,2020m1,THS_HD,38.66,
SI,2020m1,THS_HD,9.4300003,
SK,2020m1,THS_HD,2.1900001,
DK,2020m1,THS_HD,39.299999,
AT,2020m2,THS_HD,51.290001,
BE,2020m2,THS_HD,59.73,
BG,2020m2,THS_HD,2.3,
CY,2020m2,THS_HD,1.38,
CZ,2020m2,THS_HD,18.6,
DE,2020m2,THS_HD,258,
EE,2020m2,THS_HD,2.72,
EL,2020m2,THS_HD,11.72,
ES,2020m2,THS_HD,186.19,p
FI,2020m2,THS_HD,20.110001,
FR,2020m2,THS_HD,345.07999,p
HR,2020m2,THS_HD,13,
HU,2020m2,THS_HD,7.8899999,
IE,2020m2,THS_HD,163.69,
IT,2020m2,THS_HD,211.28999,
LT,2020m2,THS_HD,12.57,
LU,2020m2,THS_HD,2.0699999,
LV,2020m2,THS_HD,5.1799998,
MT,2020m2,THS_HD,.30000001,
NL,2020m2,THS_HD,168.75999,
PL,2020m2,THS_HD,154.64999,
PT,2020m2,THS_HD,27.17,
RO,2020m2,THS_HD,9.9200001,p
SE,2020m2,THS_HD,35.860001,
SI,2020m2,THS_HD,8.54,
SK,2020m2,THS_HD,1.99,
DK,2020m2,THS_HD,32.799999,
AT,2020m3,THS_HD,56.650002,
BE,2020m3,THS_HD,64.82,
BG,2020m3,THS_HD,2.46,
CY,2020m3,THS_HD,1.38,
CZ,2020m3,THS_HD,18.99,
DE,2020m3,THS_HD,289,
EE,2020m3,THS_HD,3.02,
EL,2020m3,THS_HD,11.98,
ES,2020m3,THS_HD,197.86,p
FI,2020m3,THS_HD,23.01,
FR,2020m3,THS_HD,373.60999,p
HR,2020m3,THS_HD,15.5,
HU,2020m3,THS_HD,7.4499998,
IE,2020m3,THS_HD,173.67,
IT,2020m3,THS_HD,224.28999,
LT,2020m3,THS_HD,12.15,
LU,2020m3,THS_HD,2.3299999,
LV,2020m3,THS_HD,5.79,
MT,2020m3,THS_HD,.34999999,
NL,2020m3,THS_HD,164.56,
PL,2020m3,THS_HD,151.33,
PT,2020m3,THS_HD,32.91,
RO,2020m3,THS_HD,9.9899998,p
SE,2020m3,THS_HD,37.880001,
SI,2020m3,THS_HD,9.5900002,
SK,2020m3,THS_HD,1.88,
DK,2020m3,THS_HD,37.599998,
AT,2020m4,THS_HD,47.779999,
BE,2020m4,THS_HD,61.299999,
BG,2020m4,THS_HD,2.0899999,
CY,2020m4,THS_HD,1.0700001,
CZ,2020m4,THS_HD,17.33,
DE,2020m4,THS_HD,242,
EE,2020m4,THS_HD,2.8299999,
EL,2020m4,THS_HD,10.94,
ES,2020m4,THS_HD,177.02,p
FI,2020m4,THS_HD,21.200001,
FR,2020m4,THS_HD,371.20001,p
HR,2020m4,THS_HD,11,
