t,synthetic,treated,month,gap,synthetic_aligned,centered_gap_sq
1,3.193992533815209,3.445533214944948,2023m4,.2515406811297396,3.505203033025,.0035604871897065
2,3.31978303003948,3.589059139907401,2023m5,.2692761098679202,3.630993529249272,.0017584930094757
3,3.282742003486417,3.708191735212441,2023m6,.4254497317260237,3.593952502696209,.0130506022458977
4,3.21549620275857,3.502248584355232,2023m7,.2867523815966626,3.526706701968362,.0005981995171777
5,3.316280392384154,3.69957209120093,2023m8,.3832916988167758,3.627490891593946,.0051956993367819
6,3.295232467259969,3.624074275518873,2023m9,.328841808258904,3.606442966469761,.0003108630587853
7,3.37550213094246,3.673511961487725,2023m10,.2980098305452654,3.686712630152252,.0001742576531906
8,3.375964201392378,3.733852823403605,2023m11,.3578886220112278,3.687174700602169,.002178847148266
9,3.249226901274209,3.513334922519476,2023m12,.2641080212452671,3.560437400484,.0022186434303985
10,3.318677594881048,3.591266591600212,2024m1,.2725889967191644,3.629888094090839,.0014916204546335
11,3.254513273241429,3.521938954280619,2024m2,.2674256810391906,3.565723772451221,.0019171103022326
12,3.243282294968118,3.471655802648677,2024m3,.2283735076805598,3.554492794177909,.006861967165614
13,3.305341495648581,3.641263584169348,2024m4,.3359220885207668,3.616551994858373,.0006106626462743
14,3.292605084479105,3.59429399485156,2024m5,.3016889103724556,3.603815583688896,.0000906606539873
15,3.168864554402099,3.56586397301905,2024m6,.3969994186169514,3.480075053611891,.0073597386930482
16,3.28563037461349,3.524004756942136,2024m7,.2383743823286455,3.596840873823282,
17,3.263695322848166,3.601140523147863,2024m8,.337445200299697,3.574905822057957,
18,3.311122235744627,3.61872521874228,2024m9,.3076029829976532,3.622332734954419,
19,3.41423961438737,3.704998873530815,2024m10,.2907592591434454,3.725450113597162,
20,3.332086556600837,3.679838694064422,2024m11,.3477521374635844,3.643297055810629,
21,3.256643062511303,3.475686224210575,2024m12,.2190431616992718,3.567853561721094,
22,3.305170964669939,3.643358970750984,2025m1,.3381880060810443,3.616381463879731,
23,3.193533772096826,3.453157132664693,2025m2,.2596233605678671,3.504744271306618,
24,3.231081220310914,3.532517972227533,2025m3,.301436751916619,3.542291719520705,
25,3.274352108648283,3.495901303251414,2025m4,.2215491946031309,3.585562607858075,
26,3.228413918110083,3.591266591600212,2025m5,.3628526734901292,3.539624417319875,
27,3.195907479580512,3.548467252109883,2025m6,.352559772529371,3.507117978790304,
28,3.266098903452485,3.498928925507807,2025m7,.2328300220553219,3.577309402662277,
29,3.1802864487596,3.518387635502148,2025m8,.3381011867425481,3.491496947969392,
30,3.294975718727285,3.626738061635355,2025m9,.3317623429080698,3.606186217937076,
