geo,month,measure,value,flag
AT,2023m4,THS_HD,46.84,
BE,2023m4,THS_HD,59.549999,
BG,2023m4,THS_HD,2.3199999,p
CY,2023m4,THS_HD,1.3200001,
CZ,2023m4,THS_HD,17.370001,
DE,2023m4,THS_HD,215.62,
EE,2023m4,THS_HD,2.26,
EL,2023m4,THS_HD,12.79,
ES,2023m4,THS_HD,177.33,
FI,2023m4,THS_HD,19.66,
FR,2023m4,THS_HD,316.5,p
HR,2023m4,THS_HD,12,
HU,2023m4,THS_HD,7.9200001,
IE,2023m4,THS_HD,134.28,
IT,2023m4,THS_HD,205.55,
LT,2023m4,THS_HD,11.85,
LU,2023m4,THS_HD,1.95,
LV,2023m4,THS_HD,5.4200001,
MT,2023m4,THS_HD,.31999999,
NL,2023m4,THS_HD,154.56,
PL,2023m4,THS_HD,124.33,
PT,2023m4,THS_HD,29.33,
RO,2023m4,THS_HD,9.0699997,p
SE,2023m4,THS_HD,29.629999,
SI,2023m4,THS_HD,8.8999996,
SK,2023m4,THS_HD,1.8099999,
DK,2023m4,THS_HD,31.360001,
AT,2023m5,THS_HD,51.580002,
BE,2023m5,THS_HD,65.080002,
BG,2023m5,THS_HD,2.6199999,p
CY,2023m5,THS_HD,1.51,
CZ,2023m5,THS_HD,20.129999,
DE,2023m5,THS_HD,241.71001,
EE,2023m5,THS_HD,2.4300001,
EL,2023m5,THS_HD,12.46,
ES,2023m5,THS_HD,230.37,
FI,2023m5,THS_HD,22.700001,
FR,2023m5,THS_HD,338.82001,p
HR,2023m5,THS_HD,13,
HU,2023m5,THS_HD,7.5900002,
IE,2023m5,THS_HD,153.83,
IT,2023m5,THS_HD,229.3,
LT,2023m5,THS_HD,13.86,
LU,2023m5,THS_HD,2.05,
LV,2023m5,THS_HD,5.8000002,
MT,2023m5,THS_HD,.36000001,
NL,2023m5,THS_HD,186.75,
PL,2023m5,THS_HD,150.95,
PT,2023m5,THS_HD,39.52,
RO,2023m5,THS_HD,11.2,p
SE,2023m5,THS_HD,35.889999,
SI,2023m5,THS_HD,9.3900003,
SK,2023m5,THS_HD,2.1900001,
DK,2023m5,THS_HD,36.200001,
AT,2023m6,THS_HD,48.18,
BE,2023m6,THS_HD,66.82,
BG,2023m6,THS_HD,2.5899999,p
CY,2023m6,THS_HD,1.3,
CZ,2023m6,THS_HD,18.450001,
DE,2023m6,THS_HD,239.22,
EE,2023m6,THS_HD,2.3199999,
EL,2023m6,THS_HD,13.22,
ES,2023m6,THS_HD,211.05,
FI,2023m6,THS_HD,21.26,
FR,2023m6,THS_HD,343.26999,p
HR,2023m6,THS_HD,13.2,
HU,2023m6,THS_HD,7.5599999,
IE,2023m6,THS_HD,148.92,
IT,2023m6,THS_HD,210.89,
LT,2023m6,THS_HD,12.91,
LU,2023m6,THS_HD,2.1900001,
LV,2023m6,THS_HD,5.8400002,
MT,2023m6,THS_HD,.31999999,
NL,2023m6,THS_HD,173.24001,p
PL,2023m6,THS_HD,147.22,
PT,2023m6,THS_HD,35.700001,
RO,2023m6,THS_HD,9.6700001,p
SE,2023m6,THS_HD,33.130001,
SI,2023m6,THS_HD,7.6599998,
SK,2023m6,THS_HD,2.02,
DK,2023m6,THS_HD,40.779999,
AT,2023m7,THS_HD,44.91,
BE,2023m7,THS_HD,55.68,
BG,2023m7,THS_HD,2.4200001,p
CY,2023m7,THS_HD,1.21,
CZ,2023m7,THS_HD,16.34,
DE,2023m7,THS_HD,222.14,
EE,2023m7,THS_HD,2.3699999,
EL,2023m7,THS_HD,13.14,
ES,2023m7,THS_HD,198.60001,
FI,2023m7,THS_HD,19.01,
FR,2023m7,THS_HD,302.04001,p
HR,2023m7,THS_HD,13.5,
HU,2023m7,THS_HD,7.1999998,
IE,2023m7,THS_HD,144.3,
IT,2023m7,THS_HD,193.85001,
LT,2023m7,THS_HD,13.17,
LU,2023m7,THS_HD,1.79,
LV,2023m7,THS_HD,6.4400001,
MT,2023m7,THS_HD,.33000001,
NL,2023m7,THS_HD,162.11,
PL,2023m7,THS_HD,114.54,
PT,2023m7,THS_HD,36.220001,
RO,2023m7,THS_HD,10.61,p
SE,2023m7,THS_HD,31.07,
SI,2023m7,THS_HD,6.6300001,
SK,2023m7,THS_HD,1.63,
DK,2023m7,THS_HD,33.189999,
AT,2023m8,THS_HD,47.669998,
BE,2023m8,THS_HD,63,
BG,2023m8,THS_HD,2.3199999,p
CY,2023m8,THS_HD,1.37,
CZ,2023m8,THS_HD,18.719999,
DE,2023m8,THS_HD,244.21001,
EE,2023m8,THS_HD,2.8199999,
EL,2023m8,THS_HD,13.16,
ES,2023m8,THS_HD,213.10001,
FI,2023m8,THS_HD,23.780001,
FR,2023m8,THS_HD,332.29001,p
HR,2023m8,THS_HD,14.4,
HU,2023m8,THS_HD,7.3400002,
IE,2023m8,THS_HD,162.14,
IT,2023m8,THS_HD,222.05,
LT,2023m8,THS_HD,12.08,
LU,2023m8,THS_HD,1.9299999,
LV,2023m8,THS_HD,6.6399999,
MT,2023m8,THS_HD,.28999999,
NL,2023m8,THS_HD,181.5,
PL,2023m8,THS_HD,153.62,
PT,2023m8,THS_HD,37.09,
RO,2023m8,THS_HD,11.56,p
SE,2023m8,THS_HD,39.5,
SI,2023m8,THS_HD,6.9099998,
SK,2023m8,THS_HD,1.8099999,
DK,2023m8,THS_HD,40.43,
AT,2023m9,THS_HD,50.299999,
BE,2023m9,THS_HD,65.230003,
BG,2023m9,THS_HD,2.5599999,p
CY,2023m9,THS_HD,1.72,
CZ,2023m9,THS_HD,18.290001,
DE,2023m9,THS_HD,254.39999,
EE,2023m9,THS_HD,2.6300001,
EL,2023m9,THS_HD,12.24,
ES,2023m9,THS_HD,206.5,
FI,2023m9,THS_HD,22.41,
FR,2023m9,THS_HD,325.19,p
HR,2023m9,THS_HD,13.6,
HU,2023m9,THS_HD,7.5100002,
IE,2023m9,THS_HD,152.64,
IT,2023m9,THS_HD,226.5,
LT,2023m9,THS_HD,12.47,
LU,2023m9,THS_HD,2.02,
LV,2023m9,THS_HD,6.3299999,
MT,2023m9,THS_HD,.28999999,
