geo,month,measure,value,flag
AT,2020m1,THS_T,20.26,
BE,2020m1,THS_T,21.99,
BG,2020m1,THS_T,.55000001,
CY,2020m1,THS_T,.54000002,
CZ,2020m1,THS_T,6.7399998,
DE,2020m1,THS_T,100,
EE,2020m1,THS_T,.75999999,
EL,2020m1,THS_T,2.74,
ES,2020m1,THS_T,57.889999,p
FI,2020m1,THS_T,7.7800002,
FR,2020m1,THS_T,122.42,p
HR,2020m1,THS_T,3.77,
HU,2020m1,THS_T,2.8299999,
IE,2020m1,THS_T,56.110001,
IT,2020m1,THS_T,62.98,
LT,2020m1,THS_T,3.8699999,
LU,2020m1,THS_T,.94999999,
LV,2020m1,THS_T,1.3099999,
MT,2020m1,THS_T,.12,
NL,2020m1,THS_T,38.77,
PL,2020m1,THS_T,49.93,
PT,2020m1,THS_T,7.5999999,
RO,2020m1,THS_T,2.6199999,p
SE,2020m1,THS_T,12.55,
SI,2020m1,THS_T,2.8699999,
SK,2020m1,THS_T,.66000003,
DK,2020m1,THS_T,10.6,
AT,2020m2,THS_T,17.389999,
BE,2020m2,THS_T,19.16,
BG,2020m2,THS_T,.47999999,
CY,2020m2,THS_T,.43000001,
CZ,2020m2,THS_T,5.7199998,
DE,2020m2,THS_T,85,
EE,2020m2,THS_T,.64999998,
EL,2020m2,THS_T,2.6700001,
ES,2020m2,THS_T,51.599998,p
FI,2020m2,THS_T,6.6799998,
FR,2020m2,THS_T,108.38,p
HR,2020m2,THS_T,3.3,
HU,2020m2,THS_T,2.0899999,
IE,2020m2,THS_T,53.259998,
IT,2020m2,THS_T,59.400002,
LT,2020m2,THS_T,3.54,
LU,2020m2,THS_T,.76999998,
LV,2020m2,THS_T,1.09,
MT,2020m2,THS_T,.090000004,
NL,2020m2,THS_T,34.220001,
PL,2020m2,THS_T,47.580002,
PT,2020m2,THS_T,6.79,
RO,2020m2,THS_T,2.49,p
SE,2020m2,THS_T,11.56,
SI,2020m2,THS_T,2.6099999,
SK,2020m2,THS_T,.58999997,
DK,2020m2,THS_T,8.8999996,
AT,2020m3,THS_T,19.52,
BE,2020m3,THS_T,21.26,
BG,2020m3,THS_T,.51999998,
CY,2020m3,THS_T,.40000001,
CZ,2020m3,THS_T,5.9299998,
DE,2020m3,THS_T,96,
EE,2020m3,THS_T,.75,
EL,2020m3,THS_T,2.75,
ES,2020m3,THS_T,54.630001,p
FI,2020m3,THS_T,7.6900001,
FR,2020m3,THS_T,119.04,p
HR,2020m3,THS_T,3.8900001,
HU,2020m3,THS_T,1.88,
IE,2020m3,THS_T,55.369999,
IT,2020m3,THS_T,60.759998,
LT,2020m3,THS_T,3.3800001,
LU,2020m3,THS_T,.85000002,
LV,2020m3,THS_T,1.24,
MT,2020m3,THS_T,.1,
NL,2020m3,THS_T,34.459999,
PL,2020m3,THS_T,45.779999,
PT,2020m3,THS_T,8.2399998,
RO,2020m3,THS_T,2.47,p
SE,2020m3,THS_T,12.18,
SI,2020m3,THS_T,2.98,
SK,2020m3,THS_T,.57999998,
DK,2020m3,THS_T,10,
AT,2020m4,THS_T,16.18,
BE,2020m4,THS_T,20.58,
BG,2020m4,THS_T,.44,
CY,2020m4,THS_T,.31999999,
CZ,2020m4,THS_T,5.4000001,
DE,2020m4,THS_T,81,
EE,2020m4,THS_T,.70999998,
EL,2020m4,THS_T,3.5599999,
ES,2020m4,THS_T,49.290001,p
FI,2020m4,THS_T,7.0900002,
FR,2020m4,THS_T,119.94,p
HR,2020m4,THS_T,2.73,
HU,2020m4,THS_T,2.6300001,
IE,2020m4,THS_T,40.860001,
IT,2020m4,THS_T,53.93,
LT,2020m4,THS_T,2.72,
LU,2020m4,THS_T,.79000002,
LV,2020m4,THS_T,1.16,
MT,2020m4,THS_T,.1,
NL,2020m4,THS_T,30.92,
PL,2020m4,THS_T,37.919998,
PT,2020m4,THS_T,6.8699999,
RO,2020m4,THS_T,2.01,p
SE,2020m4,THS_T,11.09,
SI,2020m4,THS_T,2.5999999,
SK,2020m4,THS_T,.57999998,
DK,2020m4,THS_T,8.3999996,
AT,2020m5,THS_T,17.190001,
BE,2020m5,THS_T,19.969999,
BG,2020m5,THS_T,.44,
CY,2020m5,THS_T,.31999999,
CZ,2020m5,THS_T,5.73,
DE,2020m5,THS_T,76,
EE,2020m5,THS_T,.69999999,
EL,2020m5,THS_T,2.8599999,
ES,2020m5,THS_T,51.709999,p
FI,2020m5,THS_T,5.8499999,
FR,2020m5,THS_T,111.04,p
HR,2020m5,THS_T,3.1400001,
HU,2020m5,THS_T,2.0999999,
IE,2020m5,THS_T,42.990002,
IT,2020m5,THS_T,58.5,
LT,2020m5,THS_T,3.1500001,
LU,2020m5,THS_T,.79000002,
LV,2020m5,THS_T,1.13,
MT,2020m5,THS_T,.090000004,
NL,2020m5,THS_T,33.330002,
PL,2020m5,THS_T,43.82,
PT,2020m5,THS_T,8.0299997,
RO,2020m5,THS_T,2.3800001,p
SE,2020m5,THS_T,10.73,
SI,2020m5,THS_T,3.1800001,
SK,2020m5,THS_T,.58999997,
DK,2020m5,THS_T,8.5,
AT,2020m6,THS_T,18.26,
BE,2020m6,THS_T,21.700001,
BG,2020m6,THS_T,.41,
CY,2020m6,THS_T,.34,
CZ,2020m6,THS_T,6.1199999,
DE,2020m6,THS_T,88,
EE,2020m6,THS_T,.72000003,
EL,2020m6,THS_T,2.96,
ES,2020m6,THS_T,57.669998,p
FI,2020m6,THS_T,6.48,
FR,2020m6,THS_T,126.53,p
HR,2020m6,THS_T,3.76,
HU,2020m6,THS_T,2.1500001,
IE,2020m6,THS_T,56.619999,
IT,2020m6,THS_T,60.759998,
LT,2020m6,THS_T,3.22,
LU,2020m6,THS_T,.88,
LV,2020m6,THS_T,.94999999,
MT,2020m6,THS_T,.079999998,
NL,2020m6,THS_T,36.119999,
PL,2020m6,THS_T,51.990002,
PT,2020m6,THS_T,9.2299995,
RO,2020m6,THS_T,2.53,p
SE,2020m6,THS_T,11.3,
SI,2020m6,THS_T,2.6700001,
SK,2020m6,THS_T,.69,
DK,2020m6,THS_T,11,
AT,2020m7,THS_T,17.530001,
BE,2020m7,THS_T,21.09,
BG,2020m7,THS_T,.41,
CY,2020m7,THS_T,.34999999,
CZ,2020m7,THS_T,5.9699998,
DE,2020m7,THS_T,88,
EE,2020m7,THS_T,.75,
EL,2020m7,THS_T,3.0799999,
ES,2020m7,THS_T,61.27,p
FI,2020m7,THS_T,7.2199998,
FR,2020m7,THS_T,120.85,p
HR,2020m7,THS_T,4.0300002,
HU,2020m7,THS_T,2.52,
IE,2020m7,THS_T,58.380001,
IT,2020m7,THS_T,61.34,
LT,2020m7,THS_T,3.97,
LU,2020m7,THS_T,.86000001,
LV,2020m7,THS_T,1.38,
MT,2020m7,THS_T,.1,
NL,2020m7,THS_T,36.470001,
PL,2020m7,THS_T,54.009998,
PT,2020m7,THS_T,9.21,
RO,2020m7,THS_T,2.79,p
SE,2020m7,THS_T,10.14,
SI,2020m7,THS_T,2.6199999,
SK,2020m7,THS_T,.72000003,
DK,2020m7,THS_T,9.1000004,
AT,2020m8,THS_T,16.01,
BE,2020m8,THS_T,20.65,
BG,2020m8,THS_T,.38999999,
CY,2020m8,THS_T,.31,
CZ,2020m8,THS_T,5.5900002,
DE,2020m8,THS_T,85,
EE,2020m8,THS_T,.69,
EL,2020m8,THS_T,3.05,
ES,2020m8,THS_T,57.849998,p
FI,2020m8,THS_T,6.98,
FR,2020m8,THS_T,115.5,p
HR,2020m8,THS_T,3.79,
HU,2020m8,THS_T,2.28,
IE,2020m8,THS_T,52.32,
IT,2020m8,THS_T,58.560001,
LT,2020m8,THS_T,3.4000001,
LU,2020m8,THS_T,.73000002,
LV,2020m8,THS_T,1.15,
MT,2020m8,THS_T,.079999998,
NL,2020m8,THS_T,34.950001,
PL,2020m8,THS_T,45.84,
PT,2020m8,THS_T,9.1000004,
RO,2020m8,THS_T,2.78,p
SE,2020m8,THS_T,11.27,
SI,2020m8,THS_T,2.46,
SK,2020m8,THS_T,.66000003,
DK,2020m8,THS_T,10.8,
AT,2020m9,THS_T,18.549999,
BE,2020m9,THS_T,21.35,
BG,2020m9,THS_T,.62,
CY,2020m9,THS_T,.41,
CZ,2020m9,THS_T,5.9699998,
DE,2020m9,THS_T,94,
EE,2020m9,THS_T,.85000002,
EL,2020m9,THS_T,2.9400001,
ES,2020m9,THS_T,60.139999,p
FI,2020m9,THS_T,7.9299998,
FR,2020m9,THS_T,122.77,p
HR,2020m9,THS_T,3.97,
HU,2020m9,THS_T,2.46,
IE,2020m9,THS_T,55.630001,
IT,2020m9,THS_T,62.599998,
LT,2020m9,THS_T,3.73,
LU,2020m9,THS_T,.88,
LV,2020m9,THS_T,1.3,
MT,2020m9,THS_T,.1,
NL,2020m9,THS_T,39.16,
PL,2020m9,THS_T,49.970001,
PT,2020m9,THS_T,8.5500002,
RO,2020m9,THS_T,2.98,p
SE,2020m9,THS_T,13.11,
SI,2020m9,THS_T,3.1800001,
SK,2020m9,THS_T,.81,
DK,2020m9,THS_T,11.4,
AT,2020m10,THS_T,19.790001,
BE,2020m10,THS_T,22.530001,
BG,2020m10,THS_T,.63,
CY,2020m10,THS_T,.41999999,
CZ,2020m10,THS_T,6.3099999,
DE,2020m10,THS_T,103,
EE,2020m10,THS_T,.83999997,
EL,2020m10,THS_T,2.76,
ES,2020m10,THS_T,59.540001,p
FI,2020m10,THS_T,7.9299998,
FR,2020m10,THS_T,123.63,p
HR,2020m10,THS_T,3.9000001,
HU,2020m10,THS_T,2.4200001,
IE,2020m10,THS_T,57.580002,
IT,2020m10,THS_T,66.059998,
LT,2020m10,THS_T,4.3400002,
LU,2020m10,THS_T,.95999998,
LV,2020m10,THS_T,1.47,
MT,2020m10,THS_T,.090000004,
NL,2020m10,THS_T,41.400002,
PL,2020m10,THS_T,49.349998,
PT,2020m10,THS_T,8.1099997,
RO,2020m10,THS_T,3.05,p
SE,2020m10,THS_T,13.22,
SI,2020m10,THS_T,3.6500001,
SK,2020m10,THS_T,.69999999,
DK,2020m10,THS_T,11.4,
AT,2020m11,THS_T,19.41,
BE,2020m11,THS_T,21.190001,
BG,2020m11,THS_T,.72000003,
CY,2020m11,THS_T,.34,
CZ,2020m11,THS_T,6.4099998,
DE,2020m11,THS_T,98,
EE,2020m11,THS_T,.76999998,
EL,2020m11,THS_T,2.6199999,
ES,2020m11,THS_T,56.310001,p
FI,2020m11,THS_T,7.46,
FR,2020m11,THS_T,117.28,p
HR,2020m11,THS_T,3.4400001,
HU,2020m11,THS_T,2.4200001,
IE,2020m11,THS_T,55.880001,
IT,2020m11,THS_T,56.259998,
LT,2020m11,THS_T,3.72,
LU,2020m11,THS_T,.85000002,
LV,2020m11,THS_T,1.25,
MT,2020m11,THS_T,.1,
NL,2020m11,THS_T,34.939999,
PL,2020m11,THS_T,38.869999,
PT,2020m11,THS_T,8.1899996,
RO,2020m11,THS_T,2.9000001,p
SE,2020m11,THS_T,12.95,
SI,2020m11,THS_T,3.9100001,
SK,2020m11,THS_T,.69999999,
DK,2020m11,THS_T,10.9,
AT,2020m12,THS_T,18.280001,
BE,2020m12,THS_T,23.049999,
BG,2020m12,THS_T,.63,
CY,2020m12,THS_T,.47,
CZ,2020m12,THS_T,6.6300001,
DE,2020m12,THS_T,96,
EE,2020m12,THS_T,.72000003,
EL,2020m12,THS_T,2.72,
ES,2020m12,THS_T,59.849998,p
FI,2020m12,THS_T,7.4200001,
FR,2020m12,THS_T,127.21,p
HR,2020m12,THS_T,3.6500001,
HU,2020m12,THS_T,2.3,
IE,2020m12,THS_T,48.389999,
IT,2020m12,THS_T,71.120003,
LT,2020m12,THS_T,2.71,
LU,2020m12,THS_T,.93000001,
LV,2020m12,THS_T,1.08,
MT,2020m12,THS_T,.11,
NL,2020m12,THS_T,38.110001,
PL,2020m12,THS_T,44.34,
PT,2020m12,THS_T,7.8699999,
RO,2020m12,THS_T,3.2,p
SE,2020m12,THS_T,10.91,
SI,2020m12,THS_T,3.78,
SK,2020m12,THS_T,.66000003,
DK,2020m12,THS_T,10.2,
AT,2021m1,THS_T,16.049999,
BE,2021m1,THS_T,19.4,
BG,2021m1,THS_T,.51999998,
CY,2021m1,THS_T,.56,
CZ,2021m1,THS_T,5.9299998,
DE,2021m1,THS_T,84.139999,
EE,2021m1,THS_T,.72000003,
EL,2021m1,THS_T,2.95,
ES,2021m1,THS_T,51.779999,
FI,2021m1,THS_T,6.6700001,
FR,2021m1,THS_T,113.56,p
HR,2021m1,THS_T,3.22,
HU,2021m1,THS_T,2.25,
IE,2021m1,THS_T,44.720001,
IT,2021m1,THS_T,55.779999,
LT,2021m1,THS_T,3.05,
LU,2021m1,THS_T,.79000002,
LV,2021m1,THS_T,1.17,
MT,2021m1,THS_T,.090000004,
NL,2021m1,THS_T,31.77,
PL,2021m1,THS_T,39.709999,
PT,2021m1,THS_T,7.1500001,
RO,2021m1,THS_T,2.5699999,p
SE,2021m1,THS_T,10.3,
SI,2021m1,THS_T,2.6900001,
SK,2021m1,THS_T,.75,
DK,2021m1,THS_T,9.8000002,
AT,2021m2,THS_T,16.01,
BE,2021m2,THS_T,18.700001,
BG,2021m2,THS_T,.46000001,
CY,2021m2,THS_T,.49000001,
CZ,2021m2,THS_T,5.7399998,
DE,2021m2,THS_T,86.099998,
EE,2021m2,THS_T,.64999998,
EL,2021m2,THS_T,2.54,
ES,2021m2,THS_T,51.57,
FI,2021m2,THS_T,6.6599998,
FR,2021m2,THS_T,109.5,p
HR,2021m2,THS_T,3.0599999,
HU,2021m2,THS_T,1.99,
IE,2021m2,THS_T,43.43,
IT,2021m2,THS_T,58.549999,
LT,2021m2,THS_T,2.51,
LU,2021m2,THS_T,.81999999,
LV,2021m2,THS_T,1.02,
MT,2021m2,THS_T,.090000004,
NL,2021m2,THS_T,30.440001,
PL,2021m2,THS_T,42.549999,
PT,2021m2,THS_T,6.8400002,
RO,2021m2,THS_T,2.6099999,p
SE,2021m2,THS_T,10.13,
SI,2021m2,THS_T,2.73,
SK,2021m2,THS_T,.70999998,
DK,2021m2,THS_T,8.6999998,
AT,2021m3,THS_T,20.34,
BE,2021m3,THS_T,21.879999,
BG,2021m3,THS_T,.50999999,
