t,synthetic,treated,month,gap,centered_gap_sq
1,1.784662905525599,2.360205538570574,2020m1,.5755426330449755,.0001179979099185
2,1.724110538518524,2.309388741124251,2020m2,.585278202605727,1.27038760607e-06
3,1.690973212094618,2.293200699302029,2020m3,.6022274872074114,.000250341059568
4,1.675876743652481,2.227818862508348,2020m4,.5519421188558673,.0011877120492018
5,1.646454589149186,2.19498206849505,2020m5,.5485274793458645,.0014347306105
6,1.745520649443227,2.327901538438629,2020m6,.5823808889954025,.000016196023436
7,1.787364219953782,2.358727784528857,2020m7,.5713635645750754,.0002262543259989
8,1.681318857692527,2.276236282024574,2020m8,.594917424332047,.0000724559655811
9,1.740481386822157,2.339330933251059,2020m9,.5988495464289019,.0001548588378175
10,1.738529489962909,2.357604286827719,2020m10,.61907479686481,.0010672948929481
11,1.665017376761707,2.2498612821462,2020m11,.5848439053844925,2.43800726966e-06
12,1.739332060876408,2.337169415076446,2020m12,.5978373542000379,.0001306914669534
13,1.656072743171577,2.281733906604111,2021m1,.6256611634325338,.0015410214530728
14,1.688309342089902,2.286660510984915,2021m2,.5983511688950136,.0001427033695668
15,1.748640071971817,2.388510879106354,2021m3,.6398708071345367,.0028585585998307
16,1.747331092791128,2.296811779408363,2021m4,.5494806866172348,.001363428353418
17,1.715652546485213,2.306207703605275,2021m5,.5905551571200618,.000017221170267
18,1.748591460649932,2.327901538438629,2021m6,.579310077788697,.0000503424241761
19,1.729297177251961,2.242317437859723,2021m7,.5130202606077625,.005385366550412
20,1.743298446390863,2.294585403032135,2021m8,.5512869566412724,.0012332992576004
21,1.743931578343657,2.339330933251059,2021m9,.5953993549074017,.0000808927119087
22,1.712195874999574,2.275366222053004,2021m10,.5631703470534297,.0005398638438437
23,1.761650289875959,2.329198075543915,2021m11,.5675477856679561,.0003556065004585
24,1.748283793255756,2.356587482953262,2021m12,.6083036896975067,.0004795387122606
25,1.675064354297418,2.278668014373543,2022m1,.6036036600761254,.0002957829931462
26,1.703054807656726,2.253947344563199,2022m2,.5508925369064723,.0012611575735481
27,1.76003201815889,2.333382474277042,2022m3,.5733504561181524,.0001704294013115
28,1.704808591182298,2.270924060652776,2022m4,.5661154694704773,.0004116779262416
29,1.732798590546624,2.301988292095016,2022m5,.569189701548392,.000296377426807
30,1.702869432218962,2.293686468759959,2022m6,.5908170365409966,.0000194632663795
31,1.654232056020975,2.229894870766139,2022m7,.5756628147451643,.0001154013618271
32,1.710542499668314,2.325026441989093,2022m8,.6144839423207786,.0007884091812634
33,1.714812864108281,2.282482144984753,2022m9,.5676692808764716,.000351039062061
34,1.656343738542412,2.265796734357071,2022m10,.6094529958146595,.0005311954834424
35,1.700586666135545,2.306917785682649,2022m11,.6063311195471035,.0003970375939175
36,1.681354425197879,2.265020301989341,2022m12,.583665876791462,7.50453447486e-06
37,1.682381331677842,2.25798467504091,2023m1,.5756033433630676,.0001166826416244
38,1.668995661425528,2.283206306840138,2023m2,.6142106454146101,.0007731362697844
39,1.701331297336777,2.297192716772067,2023m3,.5958614194352903,.0000894178669888
40,1.642833224174163,2.234936380199374,2023m4,.5921031560252112,.0000324653657744
41,1.735499858198659,2.323944222353739,2023m5,.5884443641550794,4.15771194692e-06
42,1.721254137924177,2.330625074696349,2023m6,.6093709367721711,.0005274196762731
43,1.65092956667949,2.33650456296263,2023m7,.6855749962831399,.0098346252232824
44,1.6866631264252,2.271595884807436,2023m8,.5849327583822361,2.16842986038e-06
45,1.622597198327721,2.206300655768134,2023m9,.5837034574404136,7.30004687349e-06
46,1.714753863765615,2.26867726316163,2023m10,.5539233993960146,.0010550749927967
47,1.6945686563616,2.281466656558754,2023m11,.5868980001971542,2.42736405667e-07
48,1.652852747549957,2.20866741932552,2023m12,.5558146717755632,.0009357875955564
49,1.729097385873719,2.280712954110738,2024m1,.5516155682370196,.0012103266420881
50,1.742808298623635,2.326102286035435,2024m2,.5832939874118004,9.68037387201e-06
51,1.62630220505899,2.147018228860377,2024m3,.5207160238013864,.0043150832845444
52,1.756429069668955,2.428814270585508,2024m4,.6723852009165532,.0073925403812222
53,1.696873196061027,2.332183190008535,2024m5,.6353099939475082,.0023916673948725
54,1.609043068809149,2.179190533619881,2024m6,.5701474648107314,.0002643177686016
55,1.71408669325731,2.337627553443557,2024m7,.6235408601862469,
56,1.637395631299392,2.171903979385051,2024m8,.5345083480856589,
57,1.656426059945011,2.197241791661617,2024m9,.5408157317166062,
58,1.765303275532592,2.297966032659087,2024m10,.5326627571264948,
59,1.673839895402636,2.217224405909534,2024m11,.543384510506898,
60,1.675795483304145,2.163049410485629,2024m12,.4872539271814846,
61,1.716790410723489,2.320758307520213,2025m1,.6039678967967232,
62,1.694372941599797,2.26104790307017,2025m2,.5666749614703726,
63,1.633484851776721,2.202181313449463,2025m3,.5686964616727421,
64,1.745475807719148,2.280004704195905,2025m4,.5345288964767569,
65,1.669491554941511,2.337298310138046,2025m5,.6678067551965354,
66,1.657849283291743,2.165382649739755,2025m6,.5075333664480119,
67,1.708191355236684,2.324068036443574,2025m7,.6158766812068903,
68,1.586036430328647,2.089460361478078,2025m8,.5034239311494311,
69,1.666447156684593,2.210300752654581,2025m9,.5438535959699879,
