t,synthetic,treated,month,gap,centered_gap_sq
1,1.929985142047152,2.13534917812723,2023m4,.2053640360800781,.0028480764865502
2,2.063102540451463,2.269028317354959,2023m5,.2059257769034963,.0027884347753488
3,2.022393976512963,2.40061880905609,2023m6,.3782248325431272,.014278678283097
4,1.951910153415201,2.186051233876326,2023m7,.2341410804611253,.0006046842549664
5,2.044487734091589,2.374905754573672,2023m8,.330418020482083,.005138970273606
6,2.019436654474536,2.300583044455268,2023m9,.2811463899807318,.0005024313748126
7,2.102896250195274,2.344686298272104,2023m10,.24179004807683,.0002870097080804
8,2.109569855953108,2.420368128650429,2023m11,.3107982726973209,.0027109583009572
9,1.973022295170727,2.193885705839802,2023m12,.2208634106690752,.0014339852934585
10,2.051780819267719,2.281361452645895,2024m1,.2295806333781751,.0008497677161729
11,1.995457229005104,2.20276477878751,2024m2,.2073075497824062,.0026444132912192
12,1.976864803917946,2.156402622552393,2024m3,.1795378186344476,.0062716247463448
13,2.048406646601225,2.329227068513365,2024m4,.2808204219121397,.0004879244938432
14,2.03876627650348,2.277267285009756,2024m5,.2385010085062755,.0004092691019288
15,1.912632433905378,2.249184267979622,2024m6,.3365518340742444,.0060560185672283
16,2.024443619256977,2.187174224357253,2024m7,.1627306051002764,
17,2.000359643693898,2.275213849151287,2024m8,.2748542054573888,
18,2.050292833102909,2.291524180348751,2024m9,.2412313472458423,
19,2.157769451644376,2.37397506776956,2024m10,.2162056161251842,
20,2.085034930121673,2.356125878001209,2024m11,.2710909478795362,
21,2.005290339706551,2.148267696999912,2024m12,.1429773572933604,
22,2.063377414925531,2.321406806055369,2025m1,.2580293911298379,
23,1.946940098368176,2.137710395822245,2025m2,.1907702974540688,
24,1.992880447542087,2.211565707141479,2025m3,.2186852595993922,
25,2.040848860786672,2.180417502123761,2025m4,.1395686413370889,
26,2.004563812902841,2.282382405139267,2025m5,.2778185922364265,
27,1.967524391373673,2.235376384099496,2025m6,.2678519927258232,
28,2.026854968173501,2.173614707357271,2025m7,.1467597391837696,
29,1.934305882897188,2.192770231244314,2025m8,.2584643483471258,
30,2.052919384685948,2.304583141341715,2025m9,.2516637566557671,
