geo,month,measure,value,flag
AT,2023m4,THS_T,15.5,
BE,2023m4,THS_T,18.6,
BG,2023m4,THS_T,.5,p
CY,2023m4,THS_T,.34,
CZ,2023m4,THS_T,5.4400001,
DE,2023m4,THS_T,72.080002,
EE,2023m4,THS_T,.57999998,
EL,2023m4,THS_T,3.0599999,
ES,2023m4,THS_T,50.169998,
FI,2023m4,THS_T,6.5700002,
FR,2023m4,THS_T,102.44,p
HR,2023m4,THS_T,3.05,
HU,2023m4,THS_T,2.1900001,
IE,2023m4,THS_T,42.689999,
IT,2023m4,THS_T,46.689999,
LT,2023m4,THS_T,3.3399999,
LU,2023m4,THS_T,.73000002,
LV,2023m4,THS_T,1.2,
MT,2023m4,THS_T,.090000004,
NL,2023m4,THS_T,31.08,
PL,2023m4,THS_T,37.360001,
PT,2023m4,THS_T,7.29,
RO,2023m4,THS_T,2.25,p
SE,2023m4,THS_T,9.7299995,
SI,2023m4,THS_T,2.6300001,
SK,2023m4,THS_T,.55000001,
DK,2023m4,THS_T,8.46,
AT,2023m5,THS_T,17.110001,
BE,2023m5,THS_T,20.530001,
BG,2023m5,THS_T,.56,p
CY,2023m5,THS_T,.38999999,
CZ,2023m5,THS_T,6.2800002,
DE,2023m5,THS_T,81.120003,
EE,2023m5,THS_T,.61000001,
EL,2023m5,THS_T,3.02,
ES,2023m5,THS_T,66.230003,
FI,2023m5,THS_T,7.46,
FR,2023m5,THS_T,110.94,p
HR,2023m5,THS_T,3.4200001,
HU,2023m5,THS_T,2.05,
IE,2023m5,THS_T,50.970001,
IT,2023m5,THS_T,55.700001,
LT,2023m5,THS_T,3.8599999,
LU,2023m5,THS_T,.76999998,
LV,2023m5,THS_T,1.28,
MT,2023m5,THS_T,.1,
NL,2023m5,THS_T,37.900002,
PL,2023m5,THS_T,45.830002,
PT,2023m5,THS_T,10.05,
RO,2023m5,THS_T,2.72,p
SE,2023m5,THS_T,11.87,
SI,2023m5,THS_T,2.8199999,
SK,2023m5,THS_T,.64999998,
DK,2023m5,THS_T,9.6700001,
AT,2023m6,THS_T,16.07,
BE,2023m6,THS_T,20.809999,
BG,2023m6,THS_T,.56,p
CY,2023m6,THS_T,.33000001,
CZ,2023m6,THS_T,5.77,
DE,2023m6,THS_T,79.57,
EE,2023m6,THS_T,.60000002,
EL,2023m6,THS_T,2.78,
ES,2023m6,THS_T,60.540001,
FI,2023m6,THS_T,6.8899999,
FR,2023m6,THS_T,113.19,p
HR,2023m6,THS_T,3.45,
HU,2023m6,THS_T,2,
IE,2023m6,THS_T,49.25,
IT,2023m6,THS_T,51.959999,
LT,2023m6,THS_T,3.6700001,
LU,2023m6,THS_T,.82999998,
LV,2023m6,THS_T,1.34,
MT,2023m6,THS_T,.090000004,
NL,2023m6,THS_T,36.299999,p
PL,2023m6,THS_T,44.400002,
PT,2023m6,THS_T,8.9799995,
RO,2023m6,THS_T,2.3599999,p
SE,2023m6,THS_T,11.05,
SI,2023m6,THS_T,2.3499999,
SK,2023m6,THS_T,.62,
DK,2023m6,THS_T,11.03,
AT,2023m7,THS_T,15.13,
BE,2023m7,THS_T,17.51,
BG,2023m7,THS_T,.50999999,p
CY,2023m7,THS_T,.33000001,
CZ,2023m7,THS_T,4.9899998,
DE,2023m7,THS_T,73.25,
EE,2023m7,THS_T,.61000001,
EL,2023m7,THS_T,3.02,
ES,2023m7,THS_T,57.400002,
FI,2023m7,THS_T,6.1599998,
FR,2023m7,THS_T,99.050003,p
HR,2023m7,THS_T,3.49,
HU,2023m7,THS_T,1.87,
IE,2023m7,THS_T,47.279999,
IT,2023m7,THS_T,47.75,
LT,2023m7,THS_T,3.5999999,
LU,2023m7,THS_T,.68000001,
LV,2023m7,THS_T,1.46,
MT,2023m7,THS_T,.090000004,
NL,2023m7,THS_T,33.27,
PL,2023m7,THS_T,34.060001,
PT,2023m7,THS_T,9.0600004,
RO,2023m7,THS_T,2.51,p
SE,2023m7,THS_T,10.41,
SI,2023m7,THS_T,2.0799999,
SK,2023m7,THS_T,.49000001,
DK,2023m7,THS_T,8.8999996,
AT,2023m8,THS_T,15.8,
BE,2023m8,THS_T,19.75,
BG,2023m8,THS_T,.44999999,p
CY,2023m8,THS_T,.36000001,
CZ,2023m8,THS_T,5.8000002,
DE,2023m8,THS_T,80.790001,
EE,2023m8,THS_T,.72000003,
EL,2023m8,THS_T,3.0599999,
ES,2023m8,THS_T,61.669998,
FI,2023m8,THS_T,7.6300001,
FR,2023m8,THS_T,108.92,p
HR,2023m8,THS_T,3.6600001,
HU,2023m8,THS_T,1.9,
IE,2023m8,THS_T,53.540001,
IT,2023m8,THS_T,54.599998,
LT,2023m8,THS_T,3.3,
LU,2023m8,THS_T,.74000001,
LV,2023m8,THS_T,1.46,
MT,2023m8,THS_T,.079999998,
NL,2023m8,THS_T,36.650002,
PL,2023m8,THS_T,44.310001,
PT,2023m8,THS_T,9.1099997,
RO,2023m8,THS_T,2.6300001,p
SE,2023m8,THS_T,13.13,
SI,2023m8,THS_T,2.1199999,
SK,2023m8,THS_T,.52999997,
DK,2023m8,THS_T,10.75,
AT,2023m9,THS_T,16.65,
BE,2023m9,THS_T,20.219999,
BG,2023m9,THS_T,.49000001,p
CY,2023m9,THS_T,.47,
CZ,2023m9,THS_T,5.5100002,
DE,2023m9,THS_T,83.559998,
EE,2023m9,THS_T,.66000003,
EL,2023m9,THS_T,2.8800001,
ES,2023m9,THS_T,59.110001,
FI,2023m9,THS_T,7.1799998,
FR,2023m9,THS_T,103.79,p
HR,2023m9,THS_T,3.45,
HU,2023m9,THS_T,1.86,
IE,2023m9,THS_T,50.349998,
IT,2023m9,THS_T,56.080002,
LT,2023m9,THS_T,3.4100001,
LU,2023m9,THS_T,.75999999,
LV,2023m9,THS_T,1.42,
MT,2023m9,THS_T,.079999998,
NL,2023m9,THS_T,37.209999,
PL,2023m9,THS_T,42.98,
PT,2023m9,THS_T,8.21,
RO,2023m9,THS_T,2.53,p
SE,2023m9,THS_T,12.3,
SI,2023m9,THS_T,2.5599999,
SK,2023m9,THS_T,.60000002,
DK,2023m9,THS_T,9.9799995,
AT,2023m10,THS_T,18.32,
BE,2023m10,THS_T,22.16,
BG,2023m10,THS_T,.67000002,p
CY,2023m10,THS_T,.50999999,
CZ,2023m10,THS_T,6.5500002,
DE,2023m10,THS_T,89.769997,
EE,2023m10,THS_T,.69999999,
EL,2023m10,THS_T,2.78,
ES,2023m10,THS_T,61.130001,
