study_id,citation_key,authors,publication_year,title,outlet,method,scope,estimate_type,scenario,discount_rate_pct,pulse_year,dollar_year,original_unit,estimate,interval_low,interval_high,interval_type,source_locator,source_url,preferred,eligible_for_pool,path_group,path_year,path_value,bound_type,exclusion_reason,notes,is_preferred,is_eligible,scc_original,display_year,carbon_unit_factor,cpi_source,scc_usd_2024,interval_low_usd_2024,interval_high_usd_2024,range_z,sigma_log,tax_usd_effective_120,tax_usd_marginal_300,log_price_gap_effective_120,source_gap_low_effective_120,source_gap_high_effective_120,log_price_gap_marginal_300,source_gap_low_marginal_300,source_gap_high_marginal_300,log_price_gap_low_effective_120,log_price_gap_high_effective_120,log_price_gap_low_marginal_300,log_price_gap_high_marginal_300
barrage2024,barrage2024,Barrage and Nordhaus,2024,Policies Projections and the Social Cost of Carbon: Results from the DICE-2023 Model,PNAS,DICE-2023 IAM,global,total SCC,base,3,2025,2019,USD/tCO2,78,,,,Table 2,https://doi.org/10.1073/pnas.2312030121,TRUE,TRUE,barrage_base,2025,78,,,Preferred path anchor; 2030 is log-interpolated within the published path.,1,1,91.68183390896263,2030,1,255.657,112.4928431338417,,,,,18.26252029489502,45.65630073723754,.2138119983243115,,,.1562233590332312,,,.1965642410020634,.2338777983590474,.1432923820871458,.1713369862906731
bilal2026,bilal2026,Bilal and Känzig,2026,The Macroeconomic Impact of Climate Change: Global Versus Local Temperature,Quarterly Journal of Economics,macro empirical model,global,total SCC,global temperature baseline,,2024,2024,USD/tCO2,1200,,,,abstract and Fig. XIII,https://doi.org/10.1093/qje/qjag011,TRUE,FALSE,,,,lower,Reported only as in excess of $1200,Lower-bound marker; excluded from pooled 2030 mean.,1,0,1200,2024,1,313.689,1200,,,,,18.26252029489502,45.65630073723754,1.383699498588886,,,1.366176214372582,,,,,,
cai2016,cai2016,Cai et al.,2016,Risk of Multiple Interacting Tipping Points Should Encourage Rapid CO2 Emission Reduction,Nature Climate Change,stochastic IAM,global,total SCC,interacting tipping points,,2010,2010,USD/tCO2,116,,,,"p. 2, Modelling tipping points; all results in 2010 USD",https://doi.org/10.1038/nclimate2964,TRUE,TRUE,,,,,Constant over time,Preferred risk specification; held constant as an explicit calibration sensitivity. Corrected pulse and dollar base to 2010 from the published text.,1,1,116,2010,1,218.056,166.8742157977767,,,,,18.26252029489502,45.65630073723754,.3191569309318841,,,.2674778802174952,,,.2945855833477419,.347520376316052,.2464096074277016,.2918885025434089
cailontzek2019,cailontzek2019,Cai and Lontzek,2019,The Social Cost of Carbon with Economic and Climate Risks,Journal of Political Economy,stochastic IAM,global,total SCC,stochastic growth with climate tipping benchmark,,2005,2005,USD/tC,124,,,,Table 9; stochastic growth with tipping; IES 1.5 and risk aversion 10,https://kenjudd.org/wp-content/uploads/2021/11/2019-The-Social-Cost-of-Carbon-with-Economic-and-Climate-Risks.pdf,TRUE,TRUE,,,,,Constant-value sensitivity,Corrected from 99 (upper endpoint of growth-only parameter exercise). Table 9 joint-risk benchmark is 124 USD/tC in 2005. Held constant as an explicit calibration assumption; the paper models a rising stochastic path.,1,1,124,2005,.2727272727272727,195.3,54.31844155844155,,,,,18.26252029489502,45.65630073723754,.0872931688730275,,,.0216773690115686,,,.0798399736676476,.0960560942137235,.0197706607253275,.0239326919648446
carleton2022,carleton2022,Carleton et al.,2022,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits,Quarterly Journal of Economics,empirical damage function,global,partial SCC,mortality RCP4.5,2,2020,2019,USD/tCO2,17.1,-24.700001,53.599998,IQR,Table 4,https://doi.org/10.1093/qje/qjac020,TRUE,FALSE,,,,,Partial mortality SCC,Not mixed with total SCC.,1,0,17.10000038146973,2020,1,255.657,20.98155739785281,-30.30669427915415,65.76674967377608,,,18.26252029489502,45.65630073723754,.0068552405978484,-.1311040121225514,.1134886684326464,-.0644571611016069,-.2134110357091864,.0496247510681279,.006248184033201,.007574307797673,-.0714921018961489,-.0585602536463902
dietz2021,dietz2021,Dietz et al.,2021,Economic Impacts of Tipping Points in the Climate System,PNAS,meta-analytic IAM,global,total SCC,all tipping points,,2020,2020,USD/tCO2,64.800003,,,,Table 2,https://doi.org/10.1073/pnas.2103081118,TRUE,TRUE,,,,,Constant over time,Treated as time-invariant; tipping points increase expected SCC by 24.5%.,1,1,64.80000305175781,2020,1,258.811,78.54012448196892,,,,,18.26252029489502,45.65630073723754,.1419283632102775,,,.079911841752769,,,.1301049854163636,.1557639361429227,.0730660743911638,.087965897680097
golosov2014,golosov2014,Golosov et al.,2014,Optimal Taxes on Fossil Fuel in General Equilibrium,Econometrica,analytic IAM,global,total SCC,closed-form rule,,,2010,USD/tC,,,,,eq. 18,https://doi.org/10.3982/ECTA10217,TRUE,FALSE,,,,,Theory-only,Closed-form optimal carbon tax; no comparable dated 2030 estimate.,1,0,,,.2727272727272727,218.056,,,,,,18.26252029489502,45.65630073723754,,,,,,,,,,
hansel2020,hansel2020,Hänsel et al.,2020,Climate Economics Support for the UN Climate Targets,Nature Climate Change,updated DICE IAM,global,total SCC,median expert path,,2020,2015,USD/tCO2,101,17,520,parameter range,main text and Fig. 2,https://doi.org/10.1038/s41558-020-0833-x,TRUE,TRUE,,,,,Constant over time,Treated as time-invariant; range spans ethical parameter combinations and is not a sampling CI.,1,1,101,2020,1,237.017,133.672221823751,22.49928486142344,688.2134192905994,1.959963984540054,.872622021246471,18.26252029489502,45.65630073723754,.2561687591887408,.010661398975052,.9913551741618574,.2010355427722817,-.0603702383325086,.9653024039661756,-.0035528521985068,.7979375055324927,-.0770391344793943,.7648538111374555
moore2024,moore2024,Moore et al.,2024,Synthesis of Evidence Yields High Social Cost of Carbon due to Structural Model Variation and Uncertainties,PNAS,systematic synthesis,global,total SCC,synthetic distribution,,2020,2020,USD/tCO2,283,32,874,5th-95th range,abstract and main text,https://doi.org/10.1073/pnas.2410733121,TRUE,FALSE,,,,,Synthesis double-count risk,Hollow external comparison marker; never enters pool.,1,0,283,2020,1,258.811,343.0070089756618,38.78524483117024,1059.321999451337,1.644853626951472,1.005361333879159,18.26252029489502,45.65630073723754,.5996927762170842,.0506167642903129,1.290261850401401,.5609044285582089,-.0175356859302896,1.271005672044187,.0254692940409356,1.53926809101046,-.0449715776234545,1.524955813155955
nordhaus2017,nordhaus2017,Nordhaus,2017,Revisiting the Social Cost of Carbon,PNAS,DICE IAM,global,total SCC,baseline,3,2030,2010,USD/tCO2,51.599998,,,,Table 1,https://doi.org/10.1073/pnas.1609244114,TRUE,TRUE,nordhaus_baseline,2030,51.599998,,,Published 2030 value.,1,1,51.59999847412109,2030,1,218.056,74.23025241840891,,,,,18.26252029489502,45.65630073723754,.132422639324952,,,.0697948558469384,,,.1213439039594175,.1453972558334016,.0637883509764986,.0768679537145789
pindyck2019,pindyck2019,Pindyck,2019,The Social Cost of Carbon Revisited,Journal of Environmental Economics and Management,expert elicitation,global,average SCC,high-confidence 10-90 trim lognormal,,,2017,USD/tCO2,83.599998,,,,Table 7,https://doi.org/10.1016/j.jeem.2019.02.003,TRUE,TRUE,,,,,Constant over time,Central high-confidence elicitation specification; treated as an undated time-invariant SCC. Inventory assumes 2017 dollar base; valuation-date harmonization is a sensitivity assumption.,1,1,83.59999847412109,,1,245.12,106.9859657365722,,,,,18.26252029489502,45.65630073723754,.2024984341516569,,,.1442351006049904,,,.186080668725861,.2216156338409096,.1322320034405696,.158278258328855
rennert2022,rennert2022,Rennert et al.,2022,Comprehensive Evidence Implies a Higher Social Cost of CO2,Nature,modular probabilistic IAM,global,total SCC,preferred,2,2020,2020,USD/tCO2,185,44,413,5th-95th quantiles,abstract and Extended Data Table 1,https://doi.org/10.1038/s41586-022-05224-9,TRUE,TRUE,,,,,Constant over time,Preferred GIVE estimate; treated as time-invariant and the 5th-95th quantiles are retained.,1,1,185,2020,1,258.811,224.227196680203,53.32971164285908,500.5720661022909,1.644853626951472,.6806860873064291,18.26252029489502,45.65630073723754,.4194090564222392,.0849982783006136,.7975869705513828,.3727765545883465,.0192266564062548,.7658745470598878,.069665189565282,.981531556569639,.0027261484041602,.9549012576657651
ricke2018,ricke2018,Ricke et al.,2018,Country-level Social Cost of Carbon,Nature Climate Change,spatial empirical IAM,global,total SCC,central SSP2-RCP6.0,2,2020,2010,USD/tCO2,417,177,805,66% model range,main text and Fig. 3,https://doi.org/10.1038/s41558-018-0282-y,TRUE,TRUE,,,,,Constant over time,Central global SCC; treated as time-invariant and the 66% model range is retained.,1,1,417,2020,1,218.056,599.8840343764905,254.6270361741938,1158.049514803537,.9541652531461942,.7937265268517687,18.26252029489502,45.65630073723754,.9047940121191309,.4687339855172504,1.356738101966759,.8763517948732408,.4243963399521502,1.338731601811441,.1758159482747584,1.842388889757247,.1160913458160996,1.830385515445402
vdb2021,vandenbremer2021,van den Bremer and van der Ploeg,2021,The Risk-Adjusted Carbon Price,American Economic Review,asset-pricing IAM,global,total SCC,ethical base risk-adjusted,,2015,2015,USD/tCO2,39.799999,,,,Table 4,https://doi.org/10.1257/aer.20180517,TRUE,TRUE,,,,,Constant over time,Preferred ethical risk-adjusted baseline; treated as time-invariant.,1,1,39.79999923706055,2015,1,237.017,52.67479531288593,,,,,18.26252029489502,45.65630073723754,.0834752806833097,,,.0176000369163506,,,.0763357552939392,.0918722692818398,.0160490914954398,.0194352626300084
