unit,unit_key,first_valid,last_missing
1,AT,2012m12,2012m11
2,BE,2004m12,2004m11
3,BG,2012m12,2012m11
4,CY,2015m12,2015m11
5,CZ,2014m12,2014m11
6,DE,2014m12,2014m11
7,DK,2009m12,2009m11
8,EE,2015m12,2015m11
9,EL,2014m12,2014m11
10,ES,2015m12,2015m11
11,FI,2016m12,2016m11
12,FR,1996m1,
13,HR,2015m12,2015m11
14,HU,2014m12,2014m11
15,IE,2016m12,2016m11
16,IT,2009m12,2009m11
17,LT,1996m1,
18,LU,2014m12,2014m11
19,LV,2014m12,2014m11
20,MT,2015m12,2015m11
21,NL,2009m12,2009m11
22,PL,2014m12,2014m11
23,PT,2014m12,2014m11
24,RO,2016m12,2016m11
25,SE,2013m12,2013m11
26,SI,2000m12,2000m11
27,SK,2015m12,2015m11
