unit,unit_key,first_valid,last_missing
1,AT,1995m1,1994m12
2,BE,1970m1,1969m12
3,BG,2001m12,2011m1
4,CY,2003m1,2002m12
5,CZ,2000m1,1999m12
6,DE,1970m1,1969m12
7,DK,1973m1,1972m12
8,EE,2000m1,2014m5
9,EL,1981m1,1980m12
10,ES,1986m1,1985m12
11,FI,1995m1,1994m12
12,FR,1964m1,1963m12
13,HR,2000m1,1999m12
14,HU,2003m1,2002m12
15,IE,1974m1,1973m12
16,IT,1970m1,1969m12
17,LT,2004m1,2003m12
18,LU,1970m1,1969m12
19,LV,2004m1,2003m12
20,MT,2000m1,1999m12
21,NL,1970m1,1969m12
22,PL,2003m1,2002m12
23,PT,1986m1,1985m12
24,RO,1998m12,2005m11
25,SE,1995m1,1994m12
26,SI,2000m1,1999m12
27,SK,2000m1,1999m12
