unit,unit_key,first_valid,last_missing
1,Austria|Azerbaijan,2010m1,
2,Austria|Bosnia and Herzegovina,2010m1,
3,Austria|China,2010m1,
4,Austria|Hong Kong,2010m1,
5,Austria|Iceland,2010m1,
6,Austria|Liechtenstein,2010m1,
7,Austria|New Zealand,2010m1,
8,Austria|North Macedonia,2010m1,
9,Austria|Norway,2010m1,
10,Austria|Serbia,2010m1,
11,Austria|Switzerland,2010m1,
12,Austria|United Kingdom,2010m1,
13,Austria|United States of America,2010m1,
14,Belgium|Albania,2010m1,
15,Belgium|Angola,2010m1,
16,Belgium|Argentina,2010m1,
17,Belgium|Australia,2010m1,
18,Belgium|Belarus,2010m1,
19,Belgium|Benin,2010m1,
20,Belgium|Brazil,2010m1,
21,Belgium|Burkina Faso,2010m1,
22,Belgium|Cambodia,2010m1,
23,Belgium|Canada,2010m1,
24,Belgium|Chile,2010m1,
25,Belgium|China,2010m1,
26,Belgium|Ghana,2010m1,
27,Belgium|Hong Kong,2010m1,
28,Belgium|Iceland,2010m1,
29,Belgium|Indonesia,2010m1,
30,Belgium|Iran (Islamic Republic of),2010m1,
31,Belgium|Japan,2010m1,
32,Belgium|Kazakhstan,2010m1,
33,Belgium|Korea (Republic of),2010m1,
34,Belgium|Liberia,2010m1,
35,Belgium|Maldives,2010m1,
36,Belgium|Namibia,2010m1,
37,Belgium|Nepal,2010m1,
38,Belgium|New Zealand,2010m1,
39,Belgium|Nigeria,2010m1,
40,Belgium|North Macedonia,2010m1,
41,Belgium|Norway,2010m1,
42,Belgium|Pakistan,2010m1,
43,Belgium|Philippines,2010m1,
44,Belgium|Russia,2010m1,
45,Belgium|Rwanda,2010m1,
46,Belgium|Senegal,2010m1,
47,Belgium|Singapore,2010m1,
48,Belgium|South Africa,2010m1,
49,Belgium|Switzerland,2010m1,
50,Belgium|Tanzania,2010m1,
51,Belgium|Thailand,2010m1,
52,Belgium|Togo,2010m1,
53,Belgium|Türkiye,2010m1,
54,Belgium|United Kingdom,2010m1,
55,Belgium|United States of America,2010m1,
56,Belgium|Uruguay,2010m1,
57,Belgium|Vietnam,2010m1,
58,Bulgaria|Albania,2010m1,
59,Bulgaria|Argentina,2010m1,
60,Bulgaria|Japan,2010m1,
61,Bulgaria|New Zealand,2010m1,
62,Bulgaria|North Macedonia,2010m1,
63,Bulgaria|Norway,2010m1,
64,Bulgaria|Serbia,2010m1,
65,Bulgaria|United Kingdom,2010m1,
