exercise,pre_months,units,treated_units,att,rmse_recent,rmse_full,rmse_ratio,fit_improves
cpi,15,51,1,.0759044,.0054017967,.0054017967,1,
cpi,24,51,1,.0426518,.0099479174,.032363966,1.841594204272831,0
cpi,36,51,1,.06146,.011839072,.037148587,2.191691572696153,0
cpi,54,51,1,.0596651,.011073912,.032425925,2.050042283498574,0
hicp,15,27,1,.0156655,.0099884672,.0099884672,1,
hicp,24,27,1,.028304,.010222488,.023564998,1.023429107690558,0
hicp,36,27,1,.023067,.0095919501,.029343231,.9603025071713053,1
hicp,54,27,1,.0223063,.0097036129,.025972292,.9714816781483697,1
production_heads,15,27,1,-.035045,.056200743,.056200743,1,
production_heads,24,27,1,-.0530827,.060928728,.061547518,1.084126747814172,0
production_heads,36,27,1,-.0089296,.063318104,.06681782,1.126641757486541,0
production_heads,54,27,1,-.0091314,.063992992,.066990986,1.138650290807431,0
production_weight,15,27,1,-.0661098,.056161817,.056161817,1,
production_weight,24,27,1,-.0776627,.05976956,.060519908,1.064238350370656,0
production_weight,36,27,1,-.0206327,.062172338,.067706414,1.107021487317807,0
production_weight,54,27,1,-.0142768,.062989429,.068213239,1.121570344783167,0
trade,15,383,17,-.0801265,.064974025,.064974025,1,
trade,24,383,17,-.0770115,.080102563,.098472908,1.232839785401711,0
trade,36,383,17,-.0790568,.086076923,.09657643,1.324789758029949,0
trade,54,383,17,-.0842881,.096329331,.10910007,1.482582178929912,0
