exercise,pre_months,rmse_recent,rmse_ratio,fit_improves
cpi,24,.0099479174,1.841594204272831,0
cpi,36,.011839072,2.191691572696153,0
cpi,54,.011073912,2.050042283498574,0
hicp,24,.010222488,1.023429107690558,0
hicp,36,.0095919501,.9603025071713053,1
hicp,54,.0097036129,.9714816781483697,1
production_heads,24,.060928728,1.084126747814172,0
production_heads,36,.063318104,1.126641757486541,0
production_heads,54,.063992992,1.138650290807431,0
production_weight,24,.05976956,1.064238350370656,0
production_weight,36,.062172338,1.107021487317807,0
production_weight,54,.062989429,1.121570344783167,0
trade,24,.080102563,1.232839785401711,0
trade,36,.086076923,1.324789758029949,0
trade,54,.096329331,1.482582178929912,0
